 ID	   위도	     경도	        지오이드고	       정밀도
167	35.85231	128.58118	  28.794		-
168	35.83978	128.59119	  28.853		-
169	35.84068	128.56116	  28.774		-
170	35.83531	128.59453	  28.876		-
171	35.83442	128.59898	  28.888		-
172	35.84157	128.57785	  28.815		-
173	35.83531	128.58230	  28.848		-
174	35.84604	128.59119	  28.832		-
175	35.83710	128.56450	  28.795		-
176	35.83799	128.58118	  28.836		-
177	35.84873	128.57340	  28.783		-
178	35.83442	128.59676	  28.884		-
179	35.84783	128.57673	  28.794		-
180	35.84336	128.58230	  28.820		-
181	35.84426	128.59676	  28.850		-
182	35.84515	128.58341	  28.816		-
183	35.84962	128.59898	  28.842		-
184	35.84783	128.58897	  28.823		-
185	35.84336	128.56895	  28.786		-
186	35.84604	128.59898	  28.851		-
187	35.85141	128.57896	  28.791		-
188	35.83263	128.56005	  28.797		-
189	35.83710	128.56783	  28.804		-
190	35.85320	128.57451	  28.775		-
191	35.84247	128.57006	  28.792		-
192	35.85052	128.58118	  28.798		-
193	35.85409	128.59898	  28.831		-
194	35.83889	128.56783	  28.798		-
195	35.85678	128.58007	  28.780		-
196	35.84783	128.60232	  28.854		-
197	35.84157	128.58118	  28.823		-
198	35.85141	128.60343	  28.848		-
199	35.84604	128.58230	  28.812		-
200	35.82994	128.56116	  28.809		-
201	35.83352	128.56672	  28.813		-
202	35.84068	128.57228	  28.804		-
203	35.83978	128.59564	  28.863		-
204	35.85231	128.60565	  28.851		-
205	35.83442	128.56116	  28.794		-
206	35.84068	128.59453	  28.857		-
207	35.83889	128.59119	  28.856		-
208	35.85052	128.57340	  28.779		-
209	35.84962	128.58897	  28.819		-
210	35.83352	128.58230	  28.854		-
211	35.83442	128.60121	  28.892		-
212	35.84873	128.57896	  28.797		-
213	35.83889	128.60009	  28.875		-
214	35.83442	128.59453	  28.879		-
215	35.83442	128.55560	  28.778		-
216	35.84068	128.59342	  28.855		-
217	35.85141	128.59342	  28.825		-
218	35.84962	128.60232	  28.850		-
219	35.83710	128.60009	  28.881		-
220	35.83263	128.57340	  28.834		-
221	35.85588	128.58118	  28.785		-
222	35.83799	128.57117	  28.810		-
223	35.85231	128.58452	  28.802		-
224	35.83710	128.60232	  28.886		-
225	35.85231	128.58786	  28.810		-
226	35.83620	128.60009	  28.884		-
227	35.84873	128.59119	  28.826		-
228	35.83531	128.56561	  28.804		-
229	35.83978	128.56672	  28.792		-
230	35.84783	128.59676	  28.841		-
231	35.85320	128.60343	  28.844		-
232	35.84247	128.57340	  28.800		-
233	35.84515	128.59453	  28.842		-
234	35.84604	128.58341	  28.814		-
235	35.83889	128.56005	  28.777		-
236	35.84336	128.57340	  28.797		-
237	35.84426	128.57562	  28.800		-
238	35.83531	128.55560	  28.775		-
239	35.85320	128.58007	  28.789		-
240	35.85588	128.59676	  28.822		-
241	35.84515	128.58563	  28.822		-
242	35.84604	128.58674	  28.822		-
243	35.85141	128.58452	  28.804		-
244	35.84426	128.59564	  28.847		-
245	35.83531	128.55894	  28.785		-
246	35.85231	128.58341	  28.799		-
247	35.84068	128.60009	  28.869		-
248	35.83710	128.56116	  28.786		-
249	35.83620	128.60343	  28.891		-
250	35.85231	128.57562	  28.780		-
251	35.83978	128.56005	  28.774		-
252	35.84783	128.56895	  28.774		-
253	35.84247	128.58007	  28.817		-
254	35.84873	128.58452	  28.810		-
255	35.85409	128.57562	  28.776		-
256	35.84783	128.60009	  28.849		-
257	35.83978	128.55782	  28.768		-
258	35.84157	128.56561	  28.783		-
259	35.83978	128.56783	  28.795		-
260	35.85499	128.57340	  28.768		-
261	35.84247	128.59342	  28.848		-
262	35.85320	128.57340	  28.773		-
263	35.84604	128.60343	  28.861		-
264	35.84604	128.57785	  28.801		-
265	35.84336	128.59119	  28.840		-
266	35.84426	128.56895	  28.783		-
267	35.83263	128.57451	  28.837		-
268	35.84515	128.60009	  28.855		-
269	35.83084	128.56227	  28.809		-
270	35.84694	128.58786	  28.822		-
271	35.83352	128.60343	  28.899		-
272	35.84604	128.56561	  28.770		-
273	35.83799	128.56895	  28.804		-
274	35.84247	128.60232	  28.869		-
275	35.83710	128.59564	  28.872		-
276	35.84604	128.56450	  28.767		-
277	35.84247	128.57785	  28.812		-
278	35.83799	128.56783	  28.801		-
279	35.83710	128.56895	  28.807		-
280	35.85141	128.57785	  28.788		-
281	35.84873	128.59564	  28.836		-
282	35.83352	128.60009	  28.893		-
