index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
46649,지에스커넥트,수성SK리더스뷰,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 동대구로 95수성SK리더스뷰(수성 SK리더스뷰),24시간 이용가능,"시설 상황에 따라 이용이 제한될 수 있음, 거주자외 출입제한",7kW,,"('35.8379133082524', '128.622683719366')","(1101480.949431244, 1760641.0095130668)"
46660,지에스커넥트,수성우방팔레스,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 수성로 400수성우방팔레스,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8610846942316', '128.614682110601')","(1100761.5987451992, 1763231.441801075)"
46668,지에스커넥트,수성코오롱하늘채,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 들안로 300수성코오롱하늘채(코오롱 하늘채),24시간 이용가능,,7kW,,"('35.8551734783748', '128.617495031587')","(1101014.4824715222, 1762570.6006916745)"
46673,지에스커넥트,수성태영데시앙,1,AC완속,대구광역시 ,수성구 ,"대구광역시 수성구 들안로 360(수성동4가, 수성 태영 데시앙)(태영 데시앙)",24시간 이용가능,거주자외 출입제한,,,"('35.8612773895687', '128.619472436343')","(1101192.252656192, 1763252.9840697772)"
46772,지에스커넥트,쉬프트,1,AC완속,대구광역시 ,서구 ,대구광역시 서구 국채보상로 9(이현동)(이현동 45-288),24시간 이용가능,,,,"('35.8687703108492', '128.532158334061')","(1093342.6487549513, 1764090.6510627633)"
46792,지에스커넥트,시지2차서한타운,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 천을로31길 8시지2차서한타운(997-2 서한2차아파트),24시간 이용가능,,7kW,,"('35.8441281410044', '128.708544395618')","(1109199.8892319896, 1761335.793305447)"
46800,지에스커넥트,시지삼주한라협화타운,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 신매로 91시지삼주한라협화타운(570 시지삼주한라협화타운),24시간 이용가능,거주자외 출입제한,,,"('35.8374894354728', '128.706958456104')","(1109057.3120689555, 1760593.622889958)"
46809,지에스커넥트,시지에덴타운아파트,1,AC완속,대구광역시 ,수성구 ,"대구광역시 수성구 고산로12길 34(신매동, 시지에덴타운)(594-1 시지에덴타운)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8339040707075', '128.705996338585')","(1108970.8169755735, 1760192.7990177625)"
46819,지에스커넥트,시지효성백년가약1단지지하2층,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 3280시지효성백년가약1단지지하2층(백년가약 1단지),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('35.8367151502221', '128.714801366606')","(1109762.3956610058, 1760507.0620983276)"
47065,지에스커넥트,신매우방타운,1,AC완속,대구광역시 ,수성구 ,"대구광역시 수성구 달구벌대로651길 33(신매동, 신매우방타운)(246 신매우방타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8404481779056', '128.713582008187')","(1109652.7744159526, 1760924.3938648456)"
