index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
45400,지에스커넥트,비오케이랜드,1,AC완속,세종특별자치시 ,국책연구원로 ,세종특별자치시 국책연구원로 15(반곡동)(771-76 한국법제연구원),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.492197806553', '127.302110896628')","(982434.4556882267, 1832710.5856142023)"
46319,지에스커넥트,세종가락13단지 아파트,1,AC완속,세종특별자치시 ,마음로 ,"세종특별자치시 마음로 182(고운동, 가락마을13단지)(1401 가락마을13단지)",24시간 이용가능,거주자외 출입제한,,,"('36.5145608513135', '127.230265581995')","(975954.4737794782, 1835199.899881663)"
46328,지에스커넥트,세종서비스기아오토큐,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 번암공단2길 2지상주차장,24시간 이용가능,,,,"('36.5827619227299', '127.294440035639')","(981742.593724964, 1842791.616571014)"
46330,지에스커넥트,세종시도램마을,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 20세종시도램마을(853 도램마을10단지),주중/주말 : 00시~24시,,,,"('36.5108708137519', '127.26119131726')","(978743.7747388468, 1834789.1479805724)"
46338,지에스커넥트,세종호려울마을9단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 384(보람동, 호려울마을9단지)(774 호려울마을9단지)",24시간 이용가능,거주자외 출입제한,,,"('36.4802537194025', '127.296895253387')","(981964.038458979, 1831381.0445398998)"
47715,지에스커넥트,에스지디엔씨,1,AC완속,세종특별자치시 ,세종로 ,세종특별자치시 세종로 1234-16(아름동)(아름동 1309),09:00~18:00,사업장 거주자외 출입제한,,,"('36.5125549771929', '127.243116420038')","(977113.5361129974, 1834976.6185208012)"
49730,지에스커넥트,조치원중학교,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원중고길 10-1조치원중학교(30-11 조치원중학교),24시간 이용가능,,,,"('36.6113262952373', '127.298986959584')","(982152.6968062096, 1845971.2238554985)"
51180,지에스커넥트,한국토지주택공사세종특별본부,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 238-3한국토지주택공사세종특별본부(LH 세종특별본부),24시간 이용가능,,7kW,,"('36.4947181920096', '127.265702151369')","(979150.6227507038, 1832991.1391588473)"
51369,지에스커넥트,해들마을1단지,1,AC완속,세종특별자치시 ,대평1길 ,"세종특별자치시 대평1길 27(대평동, 해들마을1단지)(707 해들마을1단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4698485656722', '127.277272111015')","(980194.1581513627, 1830222.8079082896)"
51374,지에스커넥트,해들마을3단지아파트,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 38해들마을3단지아파트,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4711995831216', '127.277698905236')","(980232.652224984, 1830373.194720479)"
51621,지에스커넥트,호려울5단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 441(보람동, 호려울마을5단지)(783 호려울마을5단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4769295157387', '127.29045529383')","(981383.1958301215, 1831011.0149801127)"
51628,지에스커넥트,호려울마을10단지아파트,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 210호려울마을10단지아파트(713 호려울마을10단지),24시간 이용가능,거주자외 출입제한,,,"('36.4822138235767', '127.293215722746')","(981632.168634089, 1831599.2310766084)"
51637,지에스커넥트,호려울마을4단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 469(보람동, 호려울마을4단지)(784 호려울마을4단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4764649697', '127.289379117482')","(981286.1316958597, 1830959.3046207037)"
55816,에버온,고운동주민센터,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 284(1382 고운동복합커뮤니티센터),평일 09시~18시 이용가능,,,,"('36.519724340798', '127.236589788899')","(976524.8762689714, 1835774.6672347365)"
56604,에버온,금남면사무소,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포로 57(122-1 금남면사무소),평일 09시~18시 이용가능,,,,"('36.4637369747441', '127.280286835459')","(980466.0667644264, 1829542.5038326532)"
57499,에버온,대평동주민센터,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 10(710 대평동복합커뮤니티센터),평일 09시~18시 이용가능,,,,"('36.4709793532592', '127.279314970603')","(980378.4108509297, 1830348.6801096797)"
57525,에버온,도담동주민센터,1,AC완속,세종특별자치시 ,보람로 ,세종특별자치시 보람로 77(645 도담동주민센터),평일 09시~18시 이용가능,,,,"('36.5154054636855', '127.261746222985')","(978793.8236401204, 1835293.9168480737)"
59022,에버온,새뜸마을10단지아파트,1,AC완속,세종특별자치시 ,새롬중앙로 ,"세종특별자치시 새롬중앙로 90 (새롬동, 새뜸마을10단지)새뜸마을10단지아파트","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4885913440018', '127.251126377917')","(977835.9824187987, 1832309.1367605277)"
60545,에버온,세종 e편한세상아파트1,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 섭골길 59(e-편한세상 세종),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.6153494373673', '127.286059935699')","(980986.7630033353, 1846419.0548736579)"
60551,에버온,세종 가락마을16단지1,1,AC완속,세종특별자치시 ,만남로 ,세종특별자치시 만남로 187(1395 가락마을16단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.5155457244987', '127.238834881321')","(976727.3690599398, 1835309.5298045033)"
60555,에버온,세종 가온마을5단지1,1,AC완속,세종특별자치시 ,다정서로 ,세종특별자치시 다정서로 60(946 가온마을5단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.4952954824714', '127.245331182165')","(977313.2933078603, 1833055.3995222466)"
60560,에버온,세종 계룡아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 143(11-1 계룡아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.6043675771531', '127.297308953024')","(982001.3514859602, 1845196.6228834146)"
60561,에버온,세종 대원네스트빌아파트,1,AC완속,세종특별자치시 ,연서면 ,세종특별자치시 연서면 당산로 290101동 102동사이 지하주차장 출입구 좌측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.560092451801', '127.28043162915')","(980479.1262172664, 1840268.1928591055)"
60573,에버온,세종 새샘마을2단지1,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 358(594 새샘마을2단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.4814966430506', '127.300584068306')","(982296.7456655918, 1831519.3990262283)"
60593,에버온,세종 새샘마을6단지1,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 302 (소담동, 새샘마을6단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.482236423453', '127.305684349694')","(982756.7580031069, 1831601.746753482)"
60612,에버온,세종 센트럴시티아파트(201동),1,AC완속,세종특별자치시 ,갈매로 ,"세종특별자치시 갈매로 480 (어진동, 한뜰마을2단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.5059945643114', '127.268784177665')","(979428.6015547828, 1834246.354392582)"
60618,에버온,세종 조치원목화아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내17길 7(12-1 조치원목화아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.6045884373492', '127.296589230434')","(981936.4371712776, 1845221.2076590192)"
60625,에버온,세종 첫마을아파트1단지 1,1,AC완속,세종특별자치시 ,노을3로 ,"세종특별자치시 노을3로 14 (한솔동, 첫마을1단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4823487827508', '127.257162918359')","(978380.4392571519, 1831614.253887733)"
60634,에버온,세종 첫마을아파트4단지,1,AC완속,세종특별자치시 ,누리로 ,"세종특별자치시 누리로 119 (한솔동, 첫마을4단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4800537592975', '127.250961124539')","(977821.0776347461, 1831358.786231712)"
60637,에버온,세종 해들마을4단지,1,AC완속,세종특별자치시 ,대평로 ,세종특별자치시 대평로 34(704 해들마을4단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.4718598977201', '127.280611870753')","(980495.3828421088, 1830446.6968114804)"
60652,에버온,세종시 부강면사무소,1,AC완속,세종특별자치시 ,부강면 ,세종특별자치시 부강면 부강5길 38(138 부강면사무소),평일 09시~18시 이용가능,,,,"('36.5294260905436', '127.370753059852')","(988625.53409245, 1836854.6053343876)"
60653,에버온,세종시 연동면사무소,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 내송길 20(내판리 9),평일 09시~18시 이용가능,,,,"('36.5592099637088', '127.326691302937')","(984651.4490858568, 1840169.9598044257)"
60654,에버온,세종시 호려울마을1단지 1,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4750024345066', '127.286146395215')","(980994.5610915248, 1830796.5043507682)"
60676,에버온,소담동주민센터,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2023(579 소담동주민센터),평일 09시~18시 이용가능,,,,"('36.4840735949817', '127.300368266026')","(982277.2816980751, 1831806.249197006)"
61125,에버온,아름동주민센터,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 114(1286 아름동행정복지센터),평일 09시~18시 이용가능,,,,"('36.5123514968346', '127.246889738805')","(977453.8650192168, 1834953.968360034)"
