충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
세종 금남프라자,1,AC완속,세종특별자치시 ,호려울로 ,세종특별자치시 호려울로 45B3층 전기실 앞(745 금남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.47822629999965', '127.28949819999988')","(981296.8721674614, 1831155.3648929782)"
세종 리버피크닉1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 137(보람동)(706 리버피크닉),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.479997999999775', '127.28625830000007')","(981004.6541781301, 1831352.57945545)"
세종 해들마을6단지 1충전소,1,AC완속,세종특별자치시 ,대평로 ,"세종특별자치시 대평로 80(대평동, 해들마을 6단지)(해들마을 6단지)",24시간 이용가능,거주자외 출입제한,7kW,,"('36.47492990000013', '127.27422759999996')","(979919.5629825728, 1830788.430263193)"
세종개발(세종필드골프클럽),1,AC완속,세종특별자치시 ,정안세종로 ,세종특별자치시 정안세종로 1569메인골프장,24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.53597720000008', '127.24089119999978')","(976912.8356822964, 1837583.8338635243)"
세종리슈빌S,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 496지하3층주차장 08기둥(세종 리슈빌S),24시간 이용가능,,7kW,,"('36.507805399999626', '127.2617048')","(978790.0875552451, 1834447.9252950689)"
세종시 새뜸마을 12단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 102B1주차장 입구(614 새뜸마을12단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.48445770000006', '127.25655059999953')","(978325.2121082133, 1831849.0053651682)"
세종시 새뜸마을 9단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 98단지내 주차장(611 새뜸마을9단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.48401030000008', '127.25550049999937')","(978230.499891583, 1831799.2035955463)"
세종시2차푸르지오시티1,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 255-21지하1층주차장(2차 푸르지오시티),24시간 이용가능,,7kW,,"('36.49547480000018', '127.26654159999941')","(979226.3355785507, 1833075.3600279642)"
세종푸르지오시티1차1,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 364지하2층 휀룸옆 A기둥(세종시 푸르지오시티),24시간 이용가능,,7kW,,"('36.49599840000026', '127.26293189999953')","(978900.7640250716, 1833133.6439049854)"
콘티넨탈,1,AC완속,세종특별자치시 ,부강면 ,세종특별자치시 부강면 금호선말길 74-7(금호리)(금호리 249),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.497939599999654', '127.36029499999994')","(987682.2848494312, 1833349.726147195)"
해피라움블루,1,AC완속,세종특별자치시 ,대평3길 ,세종특별자치시 대평3길 18B1층 26기둥(674 해피라움블루),24시간 이용가능/시설 상황에 따라 이용이 제한될 수 있습니다,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4737112999997', '127.2744657999999')","(979941.0470793183, 1830652.783333185)"
(급속)세종고운뜰PARK 가락마을8단지,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,만남로 ,세종특별자치시 만남로 92(1706 가락마을8단지),09:00~18:00,거주자외 출입제한,50kW,,"('36.50705740000009', '127.23799990000006')","(976652.0591544652, 1834364.6626136748)"
(주)포스코케미칼,1,AC완속,세종특별자치시 ,전의면 ,세종특별자치시 전의면 산단길 22-64(관정리 743),24시간 이용가능,방문자외 출입제한,,,"('36.69594110000018', '127.21126849999996')","(974241.0600617473, 1855390.0146771632)"
㈜장남 새뜸마을8단지아파트관리사무소,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 20(607 새뜸마을8단지),24시간 이용가능,거주자 외 출입제한,,,"('36.483650500000095', '127.25181550000003')","(977898.1367660067, 1831759.1529100074)"
가락마을19단지,1,AC완속,세종특별자치시 ,밝은뜰로 ,세종특별자치시 밝은뜰로 15,24시간 이용가능,거주자외 출입제한,,,"('36.52354490000013', '127.23115609999999')","(976034.792734044, 1836199.9479884712)"
가락마을2단지세종힐데스하임아파트,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 49(1731 가락마을2단지),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.50300899999968', '127.2334226999997')","(976239.2253691776, 1833914.020047363)"
가락마을9단지,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 151지하2층 110번 기둥 뒤,24시간 이용가능,거주자외 출입제한,7kW,,"('36.51111559999977', '127.22643509999939')","(975608.9891203864, 1834816.396054608)"
가온마을10단지 입주자대표회의,1,AC완속,세종특별자치시 ,가온로 ,세종특별자치시 가온로 9(가온마을 10단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.49197949999983', '127.25225349999943')","(977937.6415282391, 1832686.2850941562)"
가온마을12단지더하이스트아파트,1,AC완속,세종특별자치시 ,다정남로 ,세종특별자치시 다정남로 123(926 가온마을12단지),24시간 이용가능,거주자 외 출입제한,,,"('36.49401409999983', '127.25185159999988')","(977901.3927521083, 1832912.7640402399)"
가온마을1단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,다정남로 ,세종특별자치시 다정남로 22(960 가온마을1단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4914252000001', '127.2398008999999')","(976814.4976861393, 1832624.5838851952)"
가온마을3단지,1,AC완속,세종특별자치시 ,다정북로 ,세종특별자치시 다정북로 109,24시간 이용가능,거주자외 출입제한,,,"('36.49758990000023', '127.23838779999936')","(976687.0452212767, 1833310.7997305454)"
가재마을7단지입주자대표회의,1,AC완속,세종특별자치시 ,달빛로 ,세종특별자치시 달빛로 77(가재마을 7단지),24시간 이용가능,거주자외 출입제한,,,"('36.50662040000022', '127.24557749999975')","(977335.5095807117, 1834316.0185070154)"
고운동가락마을1단지,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 67(1729 가락마을1단지),24시간 이용가능,거주자외 출입제한,,,"('36.50366259999994', '127.2316341')","(976077.9052371795, 1833986.7747112869)"
나릿재마을2단지세종리더스포레아파트,1,AC완속,세종특별자치시 ,중앙공원서로 ,세종특별자치시 중앙공원서로 10(263 나릿재마을2단지),24시간 이용가능,거주자외 출입제한,3kW,,"('36.4882669000002', '127.26413849999963')","(979009.5915277654, 1832273.021683586)"
도램마을 2단지3단지 입주자대표회의(2단지),1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 164(685 도램마을2단지),24시간 이용가능,거주자외 출입제한,,,"('36.51268190000017', '127.25548489999989')","(978229.0928726986, 1834990.7467738357)"
도램마을 2단지3단지 입주자대표회의(3단지),1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 184(683 도램마을3단지),24시간 이용가능,거주자외 출입제한,,,"('36.514027699999716', '127.25534550000003')","(978216.519895856, 1835140.5528121416)"
도램마을10단지 입주자대표회의,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 20(853 도램마을10단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.5117880999996', '127.25940839999963')","(978582.9671531188, 1834891.254548269)"
도램마을12단지아파트,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 19,24시간 이용가능,거주자외 출입제한,,,"('36.51357979999962', '127.26081489999963')","(978709.8243406921, 1835090.6953856337)"
도램마을4단지 입주자대표회의,1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 200(도램마을 4단지),24시간 이용가능,,,,"('36.515545200000076', '127.25525309999958')","(978208.1860144559, 1835309.471420597)"
두진리버빌아파트입주자대표회의,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포2길 70(320 금남두진리버빌아파트),24시간 이용가능,거주자외 출입제한,,,"('36.4628486000002', '127.27791439999945')","(980252.0884565008, 1829443.615512725)"
범지기마을11단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 73(범지기마을 11단지),24시간 이용가능,거주자외 출입제한,,,"('36.51050460000026', '127.24914059999934')","(977656.8781160754, 1834748.3833563155)"
범지기마을4단지아파트,1,AC완속,세종특별자치시 ,달빛로 ,세종특별자치시 달빛로 109(범지기마을 4단지),24시간 이용가능,거주자외 출입제한,,,"('36.508817699999874', '127.2464036999998')","(977410.0274679348, 1834560.608199412)"
새뜸마을13단지아파트 입주자대표회의,1,AC완속,세종특별자치시 ,새롬로 ,세종특별자치시 새롬로 32(새뜸마을 13단지),24시간 이용가능,거주자외 출입제한,,,"('36.4879080999999', '127.25465600000004')","(978154.3314629867, 1832233.0823117576)"
새뜸마을14단지아파트,1,AC완속,세종특별자치시 ,새롬로 ,세종특별자치시 새롬로 56,24시간 이용가능,거주자외 출입제한,,,"('36.48980019999993', '127.25407000000008')","(978101.4780595652, 1832443.6990491461)"
새뜸마을1단지,1,AC완속,세종특별자치시 ,새롬남로 ,세종특별자치시 새롬남로 18(601 새뜸마을1단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.4812728000002', '127.24622210000007')","(977393.6483245081, 1831494.4822179405)"
새뜸마을4단지 입주자대표회의-1,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 13,24시간 이용가능,거주자외 출입제한,,,"('36.48799049999996', '127.24376009999946')","(977171.5918752495, 1832242.2545643728)"
새뜸마을7단지-702동,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 89702동 지하주차장,24시간 이용가능,거주자외 출입제한,,,"('36.48863980000002', '127.2466074999996')","(977428.4089075376, 1832314.53057917)"
새샘마을5단지 입주자대표회의,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 301(598 새샘마을5단지),24시간 이용가능,거주자외 출입제한,,,"('36.48093169999961', '127.30474989999959')","(982672.47669478, 1831456.5130993703)"
세경건설㈜가재마을6단지초록지붕세경,1,AC완속,세종특별자치시 ,달빛1로 ,세종특별자치시 달빛1로 74지하1층 03기둥 뒷면,24시간 이용가능,거주자외 출입제한,7kW,,"('36.506116899999846', '127.24501679999963')","(977284.9380733618, 1834259.9720362406)"
세종럭스스퀘어,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2282,09:00~18:00,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.5910495999999', '127.29170359999992')","(981495.7849591278, 1843714.148967352)"
세종영상의학과의원,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포로 116,24시간 이용가능,,,,"('36.468882899999606', '127.28091920000004')","(980523.1019490679, 1830115.3160456147)"
세종특별자치시 교육청,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2154,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.478038800000206', '127.28490119999968')","(980882.252550469, 1831134.4935658062)"
세종파이낸스센터1차,1,AC완속,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 363(669 세종파이낸스센터),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.496335800000146', '127.2623026999996')","(978844.014261536, 1833171.2011626195)"
세종파이낸스센터2차,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 194(어진동 667),24시간 이용가능,거주자 외 출입제한,7kW,,"('36.49682720000019', '127.26045409999942')","(978677.2825182229, 1833225.9007370397)"
세종파이낸스센터3차,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 180(666 세종파이낸스센터3),24시간 이용가능,거주자외 출입제한,7kW,,"('36.497419399999764', '127.25881769999974')","(978529.6898401536, 1833291.8207369288)"
수루배마을3단지아파트,1,AC완속,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 15(수루배마을 3단지),24시간 이용가능,거주자외 출입제한,3kW,,"('36.499652900000065', '127.30771039999966')","(982939.4946143104, 1833540.4399869759)"
주식회사 삼성모터스정비공장,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 세종로 2685-21실외주차장,24시간 이용가능,,,,"('36.62731739999959', '127.28843199999973')","(981200.70783514, 1847751.2536172576)"
죽림 우방 유쉘,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 산막길 17죽림 우방 유쉘(죽림리 72),24시간 이용가능,거주자외 출입제한,,,"('36.593700899999725', '127.29089509999997')","(981422.8634972391, 1844009.2751001113)"
죽림우방유쉘아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 산막길 17(72 우방유쉘아파트),24시간 이용가능,거주자외 출입제한,3kW,,"('36.593506300000094', '127.29311840000015')","(981623.390752948, 1843987.6134453267)"
죽림푸르지오아파트입주자대표회의,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 죽림본로 33-6(389 죽림푸르지오),24시간 이용가능,거주자외 출입제한,,,"('36.59023750000008', '127.29358109999934')","(981665.123295136, 1843623.7510748554)"
첫마을5단지,16,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 59(1045 첫마을5단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.476092799999606', '127.2471638999998')","(977478.5925827541, 1830917.877017485)"
첫마을6단지-601동,1,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 28(한솔동),24시간 이용가능,거주자외 출입제한,7kW,,"('36.47619500000027', '127.25145049999949')","(977865.2161307184, 1830929.253282323)"
첫마을6단지-606동,1,AC완속,세종특별자치시 ,누리로 ,세종특별자치시 누리로 27(한솔동),24시간 이용가능,거주자외 출입제한,7kW,,"('36.474158600000045', '127.24804320000023')","(977557.8997459866, 1830702.5739714734)"
축산물품질평가원,1,AC완속,세종특별자치시 ,아름서길 ,세종특별자치시 아름서길 21,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.51342200000017', '127.24226810000003')","(977037.0231416648, 1835073.1300766948)"
태한프레스센터,1,AC완속,세종특별자치시 ,절재로 ,세종특별자치시 절재로 172(528 태한프레스센터),24시간 이용가능,거주자외 출입제한,7kW,,"('36.50807959999964', '127.25994620000009')","(978631.4732288636, 1834478.447524018)"
해들마을2단지아파트,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 37,24시간 이용가능,거주자외 출입제한,,,"('36.4703661000003', '127.27431110000012')","(979927.0941416078, 1830280.4165926448)"
해들마을5단지,1,AC완속,세종특별자치시 ,대평로 ,세종특별자치시 대평로 56,24시간 이용가능,거주자외 출입제한,,,"('36.4734037999998', '127.2763821999994')","(980113.8939433085, 1830618.5543565322)"
호려울마을3단지,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 78(730 호려울마을3단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.47679309999968', '127.27975569999947')","(980418.1617870956, 1830995.8300332914)"
호려울마을6단지,1,AC완속,세종특별자치시 ,보람동로 ,세종특별자치시 보람동로 13(779 호려울마을6단지),24시간 이용가능,거주자외 출입제한,,,"('36.47717369999957', '127.29214049999966')","(981535.1905085184, 1831038.1960447202)"
호려울마을7단지-1,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 480,24시간 이용가능,거주자외 출입제한,,,"('36.476695099999674', '127.28468789999955')","(980863.0142723848, 1830984.921286256)"
호려울마을8단지입주자대표회의,1,AC완속,세종특별자치시 ,보람동로 ,세종특별자치시 보람동로 14(777 호려울마을8단지),24시간 이용가능,거주자외 출입제한,,,"('36.47876479999976', '127.29501539999984')","(981794.4878626436, 1831215.307344807)"
수루배마을1단지,1,AC완속,세종특별자치시 ,반곡로 ,세종특별자치시 반곡로 14B2,24시간 이용가능,거주자외 출입제한,7kW,,"('36.49800680000002', '127.30613909999951')","(982797.7735344293, 1833357.2064309164)"
명성가든,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 응암1길 10명성가든,24시간 이용가능,,7kW,,"('36.54384530000025', '127.3350013999993')","(985400.966001452, 1838459.661542536)"
기아 도원대리점,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 서북부로 6기아 도원대리점(침산리 54-4),09:00~18:00,입주자외 이용불가,3kW,,"('36.603322299999824', '127.28515629999967')","(980905.2609177273, 1845080.2691686605)"
도램마을 1단지,1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 140도램마을 1단지(845 도램마을1단지),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.50998380000012', '127.25289589999954')","(977995.5818462711, 1834690.4111577745)"
새뜸마을4단지 캐슬앤파밀리에 아파트,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 13새뜸마을4단지 캐슬앤파밀리에 아파트(554 새뜸마을4단지 새뜸마을4단지 캐슬앤파밀리에 아파트),"주중 08:00~19:00, 주말 09:00~18:00",해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.48807459999978', '127.24188629999989')","(977002.5872552564, 1832251.616050328)"
새롬동복합커뮤니티센터,1,AC완속,세종특별자치시 ,새롬중앙로 ,세종특별자치시 새롬중앙로 44,09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.485173199999636', '127.25076489999937')","(977803.3794525698, 1831928.6503498468)"
세종 우체국,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 180세종 우체국(716 세종우체국),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.48054880000023', '127.28347669999998')","(980753.7718795412, 1831413.8910663836)"
스마트허브 1동,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2150스마트허브 1동(722 스마트허브Ⅰ),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.478519000000006', '127.28323159999994')","(980731.6654474902, 1831187.9464262524)"
스마트허브2,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2144스마트 허브2(721 스마트허브Ⅱ),09:00~18:00,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.47877699999993', '127.28381410000004')","(980784.2031736011, 1831216.6653725184)"
청벽향,1,AC완속,세종특별자치시 ,장군면 ,세종특별자치시 장군면 정자말길 15-8청벽향(금암리 375),"주중 08:00~19:00, 주말 09:00~18:00",해당 시설 정책에 따라 이용이 불가할 수 있습니다.,3kW,,"('36.43869039999989', '127.21396450000017')","(974484.2217949321, 1826754.4757922175)"
한국여인생활사박물관,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 안터길 107,24시간 이용가능,,,,"('36.62983770000006', '127.28709370000001')","(981080.0018457386, 1848031.7976494606)"
새뜸마을3단지,1,AC완속,세종특별자치시 ,새롬북로 ,세종특별자치시 새롬북로 14(597 새뜸마을3단지),24시간 이용가능,,7kW,,"('36.4852692', '127.24484840000008')","(977269.7494844315, 1831939.336469431)"
조형아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 운주산로 60(244-1 조형아파트),24시간 이용가능,,7kW,,"('36.63502299999973', '127.2883659000001')","(981194.746043422, 1848608.992812663)"
프럼파스트,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 명학2길 30(명학리 412-1),24시간 이용가능,,7kW,,"('36.53352229999989', '127.34298810000003')","(986121.3145973166, 1837310.5697502908)"
박연 문화관1,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,갈매로 ,세종특별자치시 갈매로 387박연 문화관(어진동 593),24시간 이용가능,,급속(50kW),,"('36.49856680000018', '127.25961989999962')","(978602.0430828526, 1833419.5421282733)"
한국불교문화체험관,1,DC콤보,세종특별자치시 ,연기면 ,세종특별자치시 연기면 세종리 산 82,24시간 이용가능,상황에 따라 변동,100kW,상황에 따라 변동,"('36.514048099999805', '127.27026749999987')","(979562.3876192458, 1835142.8236125545)"
세종첫마을3단지아파트1(ENH),1,AC완속,세종특별자치시 ,나리1로 ,세종특별자치시 나리1로 15301동 지하2층주차장(950 첫마을3단지),24시간 이용가능,,7kW,,"('36.478170399999705', '127.2553922999994')","(978220.7409525914, 1831149.142454625)"
㈜아이소밸리,1,AC완속,세종특별자치시 ,전의면 ,세종특별자치시 전의면 동신길 144주차장(신정리 476-2),09:00~18:00,,7kW,,"('36.686859199999645', '127.21631970000004')","(974696.6455760596, 1854379.0743741277)"
sr파크센텀,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 331sr파크센텀(727 SR파크센텀),24시간 이용가능,거주자외 출입제한,7kW,,"('36.493942100000034', '127.25533389999997')","(978215.4736510043, 1832904.7494506047)"
sr파크시티,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 321sr파크시티(730 SR파크시티),24시간 이용가능,거주자외 출입제한,7kW,,"('36.49298939999962', '127.25528319999981')","(978210.900839465, 1832798.7008454602)"
도램마을5단지모아엘가에코힐아파트,1,AC완속,세종특별자치시 ,다솜1로 ,세종특별자치시 다솜1로 220도램마을5단지모아엘가에코힐아파트(도램마을 5단지),24시간 이용가능,거주자외 출입제한,7kW,,"('36.517456700000125', '127.25297719999955')","(978002.9145795454, 1835522.2476446456)"
조치원신동아파밀리에3차아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 도장말길 30(조치원 신동아파밀리에),24시간 이용가능,거주자외 출입제한,7kW,,"('36.58970009999983', '127.2967359999993')","(981949.6748351781, 1843563.931068131)"
세종리치먼드시티오피스텔,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 320(리치먼드시티 세종),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.492842', '127.25651899999961')","(978322.361992951, 1832782.2931994528)"
세종마루2오피스텔,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 316(757 세종마루2),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.49247419999964', '127.2565271999994')","(978323.1015798054, 1832741.35200391)"
세종블루지움아파트,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 306(759 블루지움),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.49173910000024', '127.2565894999996')","(978328.7206361952, 1832659.5252698439)"
세종의아침오피스텔,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 194(775 세종의아침),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.48249319999987', '127.26085659999994')","(978713.5854105543, 1831630.329512606)"
세진이너스빌오피스텔,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 207(713 세진이너스빌),24시간 이용가능,해당 시설 정책에 따라 이용이 불가할 수 있습니다,3kW,,"('36.48320549999964', '127.25917829999992')","(978562.2136239158, 1831709.6182933212)"
조치원종합세차장,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 231조치원종합세차장(서창리 47-3),24시간 이용가능,,7kW,,"('36.61191610000013', '127.29405839999974')","(981708.1726628424, 1846036.877232615)"
세종 SM타워,1,AC완속,세종특별자치시 ,정부2청사로 ,세종특별자치시 정부2청사로 10SM타워(779 에스엠타워),24시간 이용가능,,7kW,,"('36.482770800000125', '127.26139140000015')","(978761.820905713, 1831661.2302083152)"
세종 도담프라자,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 8-5도담프라자(도담동 668),24시간 이용가능,,7kW,,"('36.512851500000224', '127.25414099999965')","(978107.8817995314, 1835009.6255850364)"
세종 반곡타워,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 1952반곡타워(771-68 반곡타워),24시간 이용가능,,7kW,,"('36.49008880000014', '127.29832559999964')","(982093.0464565147, 1832475.8241960483)"
세종 센트럴테라스,1,AC완속,세종특별자치시 ,대평4길 ,세종특별자치시 대평4길 17센트럴테라스(679 센트럴테라스),24시간 이용가능,,7kW,,"('36.47325169999979', '127.26758069999954')","(979320.0556664452, 1830601.623535879)"
세종 우빈가온,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 201우빈가온(715 우빈가온),24시간 이용가능,,7kW,,"('36.482490899999846', '127.25597909999941')","(978273.6665108345, 1831630.073490989)"
세종 판타지타워,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2257판타지타워(699 판타지타워),24시간 이용가능,,7kW,,"('36.47261709999958', '127.2738207')","(979882.8632387987, 1830530.9838331204)"
세종 펠리체타워1,1,AC완속,세종특별자치시 ,대평로 ,세종특별자치시 대평로 71펠리체타워1(687 펠리체타워1),24시간 이용가능,,7kW,,"('36.47326970000011', '127.27307139999957')","(979815.2812333214, 1830603.6271833286)"
세종시 네이버타워,13,AC완속,세종특별자치시 ,호려울로 ,세종특별자치시 호려울로 9지하주차장 3층(755 네이버타워),24시간 이용가능,,7kW,,"('36.47710269999991', '127.2877025999996')","(981134.9206807627, 1831030.2927688458)"
