충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,GCS,POLYGON
연기금남신성미소지움아파트,1,AC완속,세종특별자치시 ,금남면 ,"세종특별자치시 금남면 용포2길 57-15 (용포리, 신성미소지움아파트)지하주차장 기계실앞",,,,입주민 등 거주자 외 출입 제한,"('36.465016899999796', '127.27726550000014')","(980193.5618806543, 1829684.9771065032)"
조치원신흥주공아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 이화로 5 (신흥리     신흥주공아파트),24시간 이용가능,,,,"('36.59408449999967', '127.28754429999954')","(981120.6430463501, 1844051.9750527823)"
케이티세종빌딩,11,AC완속,세종특별자치시 ,연서면 ,"세종특별자치시 연서면 아홉거리길 100 (월하리, KT세종지점)",,사업장 거주자외 출입제한,,,"('36.59410259999994', '127.28356239999944')","(980761.5014642596, 1844053.989831602)"
기아 세종시청갤러리(기아차전용),1,DC콤보,세종특별자치시 ,소담로 ,세종특별자치시 소담로 70(566 레전드타워),24시간 이용가능,기아차량 충전 전용,100kW,,"('36.485246099999905', '127.3035049999995')","(982560.1947802254, 1831936.7651219056)"
세종충남대학교병원(회원전용),1,DC차데모+AC3상+DC콤보,세종특별자치시 ,보듬7로 ,세종특별자치시 보듬7로 20세종충남대학교병원(407 세종충남대학교병원),24시간 이용가능,,50kW,,"('36.51950680000026', '127.25390399999984')","(978086.505935023, 1835750.4519537955)"
에이블빌딩,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,집현동로 ,세종특별자치시 집현동로 77(집현동 0),24시간 이용가능,,50kW,,"('36.491195099999715', '127.32436479999996')","(984441.6135938743, 1832598.9705923703)"
현대 세종청사지점(현대차 전용),1,DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 296(762 밀레니엄),24시간 이용가능,,100kW,,"('36.49071070000002', '127.25670079999938')","(978338.7591750848, 1832545.0502142059)"
NH농협세종통합센터,1,AC완속,세종특별자치시 ,,세종특별자치시 한누리대로486지하3층주차장(어진동 550),24시간 이용가능,,,,"('36.50694369999999', '127.26199109999988')","(978815.9099603542, 1834352.0062408282)"
가재마을5단지,1,AC완속,세종특별자치시 ,도움1로 ,세종특별자치시 도움1로 105 가재마을5단지지하 1층주차장 510동,24시간 이용가능,거주자외 출입제한,,,"('36.50077029999975', '127.24325469999987')","(977126.0080696695, 1833664.821965882)"
도램마을14단지(한림풀에버),1,AC완속,세종특별자치시 ,보듬2로 ,"세종특별자치시 보듬2로 42(도담동, 도램마을14단지)(858 도램마을14단지)",24시간 이용가능,거주자외 출입제한,,,"('36.509862699999694', '127.26374369999931')","(978973.9831255651, 1834676.9310631773)"
비오케이랜드,1,AC완속,세종특별자치시 ,국책연구원로 ,세종특별자치시 국책연구원로 15(반곡동)(771-76 한국법제연구원),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.492337000000155', '127.30154249999934')","(982383.1899948483, 1832726.079758119)"
세종가락13단지 아파트,1,AC완속,세종특별자치시 ,마음로 ,"세종특별자치시 마음로 182(고운동, 가락마을13단지)(1401 가락마을13단지)",24시간 이용가능,거주자외 출입제한,,,"('36.51385919999983', '127.22941239999993')","(975877.5222911151, 1835121.7964460796)"
세종서비스기아오토큐,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 번암공단2길 2지상주차장,24시간 이용가능,,,,"('36.58290919999999', '127.2939287999998')","(981696.4835825001, 1842808.0105555374)"
세종시도램마을,1,AC완속,세종특별자치시 ,보듬4로 ,세종특별자치시 보듬4로 20세종시도램마을(853 도램마을10단지),주중/주말 : 00시~24시,,,,"('36.51420640000002', '127.25755629999962')","(978415.9197324964, 1835160.4445784516)"
세종호려울마을9단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 384(보람동, 호려울마을9단지)(774 호려울마을9단지)",24시간 이용가능,거주자외 출입제한,,,"('36.4804917000002', '127.29373839999933')","(981679.3107360199, 1831407.5350515267)"
에스지디엔씨,1,AC완속,세종특별자치시 ,세종로 ,세종특별자치시 세종로 1234-16(아름동)(아름동 1309),09:00~18:00,사업장 거주자외 출입제한,,,"('36.51256900000012', '127.24262209999965')","(977068.9516481365, 1834978.1794519918)"
조치원중학교,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 조치원중고길 10-1조치원중학교(30-11 조치원중학교),24시간 이용가능,,,,"('36.595695299999896', '127.28430099999945')","(980828.1183990212, 1844231.2792336547)"
한국토지주택공사세종특별본부,1,AC완속,세종특별자치시 ,가름로 ,세종특별자치시 가름로 238-3한국토지주택공사세종특별본부(LH 세종특별본부),24시간 이용가능,,7kW,,"('36.49490139999968', '127.26133869999983')","(978757.0677071164, 1833011.5327263821)"
해들마을1단지,1,AC완속,세종특별자치시 ,대평1길 ,"세종특별자치시 대평1길 27(대평동, 해들마을1단지)(707 해들마을1단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.469292800000154', '127.27497019999939')","(979986.5406913671, 1830160.943549853)"
해들마을3단지아파트,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 38해들마을3단지아파트,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.471416299999724', '127.27415679999949')","(979913.1772812291, 1830397.3182878415)"
호려울5단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 441(보람동, 호려울마을5단지)(783 호려울마을5단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.47632640000016', '127.2890611999997')","(981257.4575986783, 1830943.879908437)"
호려울마을10단지아파트,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 210호려울마을10단지아파트(713 호려울마을10단지),24시간 이용가능,거주자외 출입제한,,,"('36.48234669999978', '127.29013889999943')","(981354.6591564562, 1831614.022048917)"
호려울마을4단지,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 469(보람동, 호려울마을4단지)(784 호려울마을4단지)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.47542289999967', '127.2844832999997')","(980844.5606779603, 1830843.30793955)"
호려울마을4단지,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 469호려울마을4단지,24시간 이용가능,거주자외 출입제한,,,"('36.475615199999936', '127.28454820000013')","(980850.4142375247, 1830864.7135727908)"
가락마을11단지아파트,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 152(1409 가락마을11단지),24시간 이용가능,외부인 사용불가,7kW,입주민만이용가능,"('36.51145659999968', '127.22956589999961')","(975891.3669965914, 1834854.3540417284)"
가락마을5단지,1,AC완속,세종특별자치시 ,마음안로 ,"세종특별자치시 마음안로 34 (고운동, 가락마을5단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.50742049999987', '127.23726800000016')","(976586.0465163046, 1834405.0806345495)"
고운동주민센터,1,AC완속,세종특별자치시 ,마음로 ,세종특별자치시 마음로 284(1382 고운동복합커뮤니티센터),평일 09시~18시 이용가능,,,,"('36.51968629999961', '127.23558679999945')","(976434.4131683932, 1835770.432770996)"
금남면사무소,1,AC완속,세종특별자치시 ,금남면 ,세종특별자치시 금남면 용포로 57(122-1 금남면사무소),평일 09시~18시 이용가능,,,,"('36.4639498000001', '127.27989979999927')","(980431.1586734832, 1829566.1942089822)"
대평동주민센터,1,AC완속,세종특별자치시 ,대평1길 ,세종특별자치시 대평1길 10(710 대평동복합커뮤니티센터),평일 09시~18시 이용가능,,,,"('36.471015900000175', '127.27826949999962')","(980284.1161758964, 1830352.748264294)"
도담동주민센터,1,AC완속,세종특별자치시 ,보람로 ,세종특별자치시 보람로 77(645 도담동주민센터),평일 09시~18시 이용가능,,,,"('36.5154555000001', '127.26086249999996')","(978714.1175523311, 1835299.486577651)"
새뜸마을10단지아파트,1,AC완속,세종특별자치시 ,새롬중앙로 ,"세종특별자치시 새롬중앙로 90 (새롬동, 새뜸마을10단지)새뜸마을10단지아파트","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.48890949999959', '127.24935789999981')","(977676.4771682756, 1832344.5518962159)"
세종 가락마을16단지1,1,AC완속,세종특별자치시 ,만남로 ,세종특별자치시 만남로 187(1395 가락마을16단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.516167100000295', '127.23752909999975')","(976609.596044654, 1835378.6974387916)"
세종 가온마을5단지1,1,AC완속,세종특별자치시 ,다정서로 ,세종특별자치시 다정서로 60(946 가온마을5단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.49528149999999', '127.24446210000004')","(977234.9077271863, 1833053.8430809863)"
세종 계룡아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내로 143(11-1 계룡아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.604582999999856', '127.29663339999983')","(981940.4209799508, 1845220.6024072994)"
세종 대원네스트빌아파트,1,AC완속,세종특별자치시 ,연서면 ,세종특별자치시 연서면 당산로 290101동 102동사이 지하주차장 출입구 좌측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.559373599999745', '127.27901069999986')","(980350.9676138338, 1840188.174772829)"
세종 범지기마을10단지 1001동,1,AC완속,세종특별자치시 ,달빛로 ,세종특별자치시 달빛로 211(1277 범지기마을10단지),24시간 이용가능 (외부인 이용불가),외부인 사용불가,7kW,,"('36.51725149999985', '127.2480697999997')","(977560.298893603, 1835499.40606409)"
세종 새샘마을2단지1,1,AC완속,세종특별자치시 ,남세종로 ,세종특별자치시 남세종로 358(594 새샘마을2단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.48220770000011', '127.29679159999944')","(981954.6895949694, 1831598.5494383639)"
세종 새샘마을6단지1,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 302 (소담동, 새샘마을6단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.48353730000011', '127.30005589999945')","(982249.1083062362, 1831746.5521940468)"
세종 새샘마을9단지아파트,1,AC완속,세종특별자치시 ,국책연구원1로 ,"세종특별자치시 국책연구원1로 15 (소담동, 새샘마을9단지)새샘마을9단지 지하6층 A36과A35기둥 사이","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.48992880000015', '127.29801700000017')","(982065.2127359189, 1832458.01399681)"
세종 센트럴시티아파트(201동),1,AC완속,세종특별자치시 ,갈매로 ,"세종특별자치시 갈매로 480 (어진동, 한뜰마을2단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.50606309999965', '127.26708499999941')","(979275.3467379727, 1834253.9833567245)"
세종 조치원목화아파트,1,AC완속,세종특별자치시 ,조치원읍 ,세종특별자치시 조치원읍 새내17길 7(12-1 조치원목화아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.604575099999785', '127.29605080000013')","(981887.8742345242, 1845219.723028704)"
세종 첫마을2단지아파트,1,AC완속,세종특별자치시 ,노을1로 ,세종특별자치시 노을1로 16(946 첫마을2단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.48056839999958', '127.2594606999999')","(978587.6842743028, 1831416.072815718)"
세종 첫마을아파트1단지 1,1,AC완속,세종특별자치시 ,노을3로 ,"세종특별자치시 노을3로 14 (한솔동, 첫마을1단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.481003300000204', '127.25621479999961')","(978294.9251238006, 1831464.4831635964)"
세종 첫마을아파트4단지,1,AC완속,세종특별자치시 ,누리로 ,"세종특별자치시 누리로 119 (한솔동, 첫마을4단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.48064060000019', '127.24997580000014')","(977732.2077450578, 1831424.1096681934)"
세종 해들마을4단지,1,AC완속,세종특별자치시 ,대평로 ,세종특별자치시 대평로 34(704 해들마을4단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.47182310000014', '127.27826039999931')","(980283.2954148252, 1830442.6007194547)"
세종시 부강면사무소,1,AC완속,세종특별자치시 ,부강면 ,세종특별자치시 부강면 부강5길 38(138 부강면사무소),평일 09시~18시 이용가능,,,,"('36.52951729999983', '127.37059999999971')","(988611.7290854166, 1836864.7582005626)"
세종시 연동면사무소,1,AC완속,세종특별자치시 ,연동면 ,세종특별자치시 연동면 내송길 20(내판리 9),평일 09시~18시 이용가능,,,,"('36.55896970000018', '127.32616679999985')","(984604.1423190744, 1840143.215151172)"
세종시 호려울마을1단지 1,1,AC완속,세종특별자치시 ,남세종로 ,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.47401620000013', '127.28341800000008')","(980748.4775198558, 1830686.7228941591)"
소담동주민센터,1,AC완속,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 2023(579 소담동주민센터),평일 09시~18시 이용가능,,,,"('36.48409689999988', '127.2993209999993')","(982182.8250874897, 1831808.8433658623)"
아름동주민센터,1,AC완속,세종특별자치시 ,보듬3로 ,세종특별자치시 보듬3로 114(1286 아름동행정복지센터),평일 09시~18시 이용가능,,,,"('36.51218010000023', '127.24615549999994')","(977387.6414359846, 1834934.8895364767)"
장군면사무소,1,AC완속,세종특별자치시 ,장군면 ,세종특별자치시 장군면 장척로 400-1(167 장군면사무소),평일 09시~18시 이용가능,,,,"('36.49677069999987', '127.2052474000001')","(973697.9958512398, 1833219.6115103976)"
