index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
56595,에버온,금강로하스엘크루1,1,AC완속,대전광역시 ,대덕구 ,"대전광역시 대덕구 대덕대로 1587 (석봉동, 금강로하스엘크루)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4534314198074', '127.421987137953')","(993112.1695872393, 1828467.3423808005)"
56642,에버온,금호한사랑아파트1,1,AC완속,대전광역시 ,중구 ,"대전광역시 중구 동서대로 1388 (목동, 금호한사랑아파트)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.332214782428', '127.411547946667')","(992163.8398092822, 1814976.629017053)"
57168,에버온,대전 서구 삼익목화아파트 3-1주차장,1,AC완속,대전광역시 ,서구 ,대전광역시 서구 복수서로 50(274-1 삼익목화아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3086572338647', '127.374579681847')","(988805.5234983972, 1812354.8095862328)"
57175,에버온,대전 성원상떼빌,1,AC완속,대전광역시 ,유성구 ,"대전광역시 유성구 온천서로 36-19 (장대동, 성원상떼빌)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3583404916535', '127.340146163857')","(985677.4717580735, 1817884.269933396)"
57176,에버온,대전 오량마을마루미아파트 2,1,AC완속,대전광역시 ,서구 ,"대전광역시 서구 복수중로 30B, C주차장 B17기둥 우측","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3064109134596', '127.376884830599')","(989014.9306396453, 1812104.8070670778)"
57203,에버온,대전 하나로아파트,1,AC완속,대전광역시 ,서구 ,"대전광역시 서구 청사로 5 (월평동, 하나로아파트)","24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3601902683434', '127.365675199468')","(987996.6116233343, 1818090.1394216933)"
57209,에버온,대전_드리움아파트1단지1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 대정로28번길 501주차장 23번 기둥 우측(316-1 대전드리움아파트1단지 1주차장 23번 기둥 우측),24시간 이용가능,외부인 사용불가,7kW,,"('36.3141771989312', '127.321609046176')","(983993.5002498616, 1812969.1498954506)"
57222,에버온,대전대덕 신탄서우아파트,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 석봉로30번안길 57(177-2 서우아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.4455115112192', '127.428459472273')","(993700.1372947369, 1827585.9021846328)"
57225,에버온,대전대덕 양지마을아파트 101동,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 대전로1185번길 30(55-5 삼익양지마을아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3598542964055', '127.413832847698')","(992371.4075823043, 1818052.747680671)"
57230,에버온,대전대덕 한남아파트,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 대전로1020번길 85(464-1 한남아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3494137976612', '127.419300788305')","(992868.1329281331, 1816890.7803222374)"
57234,에버온,대전대덕구_대전직업능력개발원,1,AC완속,대전광역시 ,대덕구 ,대전광역시 대덕구 신일동로 70지하주차장(1687-1 대전직업능력개발원),"평일 09시~18시 이용가능, 주말/공휴일 이용불가",시설 상황에 따라 이용에 제한이 있을수 있음,7kW,"평일 09시~18시 이용가능, 주말/공휴일 이용불가","('36.4397432697303', '127.410064071346')","(992029.0397931576, 1826943.9301400194)"
57236,에버온,대전동구 대성동삼익세라믹103동,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 대전로340번길 20103동 3-4라인 뒷편 옥외,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.2986986218884', '127.461284171778')","(996682.0387792743, 1811246.473448739)"
57240,에버온,대전동구 새피앙아파트101동,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 홍도로46번길 20101동 지하주차장 비상계단 옆,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",거주자외 출입제한,,입주민만 사용가능 거주자외 출입제한,"('36.3508586664422', '127.429897267359')","(993830.7512338143, 1817051.585893107)"
57243,에버온,대전동구 어진마을아파트1,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로 65(353 어진마을아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3217415652928', '127.44330348261')","(995048.6150303412, 1813811.0202902157)"
