,주용도코드명,대지위치
772,주거지,대전광역시 서구 내동 1-5번지
773,주거지,대전광역시 서구 내동 1-6번지
775,주거지,대전광역시 서구 내동 1-8번지
776,주거지,대전광역시 서구 내동 1-9번지
777,주거지,대전광역시 서구 내동 1-10번지
778,편의시설,대전광역시 서구 내동 1-13번지
779,주거지,대전광역시 서구 내동 1-15번지
780,주거지,대전광역시 서구 갈마동 3-18번지
781,교육연구시설,대전광역시 서구 갈마동 114-2번지
783,편의시설,대전광역시 서구 갈마동 228-8번지
784,편의시설,대전광역시 서구 갈마동 245-11번지
785,주거지,대전광역시 서구 갈마동 245-24번지
786,주거지,대전광역시 서구 갈마동 245-25번지
787,주거지,대전광역시 서구 갈마동 261-1번지
788,주거지,대전광역시 서구 갈마동 261-3번지
789,주거지,대전광역시 서구 갈마동 261-4번지
790,주거지,대전광역시 서구 둔산동 907번지
800,편의시설,대전광역시 서구 월평동 16-3번지
801,편의시설,대전광역시 서구 월평동 16-4번지
802,편의시설,대전광역시 서구 월평동 17-2번지
803,편의시설,대전광역시 서구 월평동 17-3번지
805,편의시설,대전광역시 서구 월평동 18-2번지
810,주거지,대전광역시 서구 가수원동 30-1번지
811,창고시설,대전광역시 서구 가수원동 30-3번지
812,편의시설,대전광역시 서구 가수원동 31-1번지
814,주거지,대전광역시 서구 가수원동 36번지
817,편의시설,대전광역시 서구 가수원동 42번지
818,편의시설,대전광역시 서구 가수원동 44번지
819,주거지,대전광역시 서구 가수원동 44-1번지
820,주거지,대전광역시 서구 도안동 104번지
821,주거지,대전광역시 서구 도안동 116번지
822,주거지,대전광역시 서구 도안동 229-8번지
823,주거지,대전광역시 서구 도안동 354-2번지
824,주거지,대전광역시 서구 도안동 428번지
825,주거지,대전광역시 서구 도안동 443번지
826,편의시설,대전광역시 서구 도안동 454번지
827,주거지,대전광역시 서구 도안동 479번지
829,주거지,대전광역시 서구 도안동 500번지
830,교육연구시설,대전광역시 서구 관저동 7-1번지
840,편의시설,대전광역시 서구 흑석동 1-1번지
843,님비시설,대전광역시 서구 흑석동 4-1번지
844,편의시설,대전광역시 서구 흑석동 17-1번지
845,편의시설,대전광역시 서구 흑석동 24-1번지
846,편의시설,대전광역시 서구 흑석동 58번지
847,주거지,대전광역시 서구 흑석동 63번지
850,주거지,대전광역시 서구 매노동 3번지
852,농축산업시설,대전광역시 서구 매노동 5-1번지
853,주거지,대전광역시 서구 매노동 7-3번지
854,주거지,대전광역시 서구 매노동 7-4번지
855,주거지,대전광역시 서구 매노동 9-1번지
856,편의시설,대전광역시 서구 매노동 9-2번지
857,편의시설,대전광역시 서구 매노동 15번지
859,님비시설,대전광역시 서구 매노동 15-3번지
860,주거지,대전광역시 서구 산직동 30-2번지
862,주거지,대전광역시 서구 산직동 30-3번지
863,주거지,대전광역시 서구 산직동 30-4번지
864,주거지,대전광역시 서구 산직동 30-5번지
865,주거지,대전광역시 서구 산직동 30-6번지
866,주거지,대전광역시 서구 산직동 31번지
867,주거지,대전광역시 서구 산직동 40-2번지
868,주거지,대전광역시 서구 산직동 44-1번지
869,창고시설,대전광역시 서구 산직동 47-3번지
870,주거지,대전광역시 서구 장안동 30번지
871,농축산업시설,대전광역시 서구 장안동 33번지
872,농축산업시설,대전광역시 서구 장안동 40번지
873,주거지,대전광역시 서구 장안동 46번지
874,주거지,대전광역시 서구 장안동 105번지
875,주거지,대전광역시 서구 장안동 109-1번지
876,주거지,대전광역시 서구 장안동 109-2번지
877,주거지,대전광역시 서구 장안동 110번지
880,편의시설,대전광역시 서구 평촌동 15번지
883,주거지,대전광역시 서구 평촌동 18번지
884,편의시설,대전광역시 서구 평촌동 36번지
885,주거지,대전광역시 서구 평촌동 38번지
887,주거지,대전광역시 서구 평촌동 39-1번지
888,주거지,대전광역시 서구 평촌동 41번지
889,편의시설,대전광역시 서구 평촌동 42번지
890,주거지,대전광역시 서구 오동 14-6번지
891,편의시설,대전광역시 서구 오동 46번지
893,편의시설,대전광역시 서구 오동 65번지
897,편의시설,대전광역시 서구 오동 68번지
898,편의시설,대전광역시 서구 오동 68-1번지
899,주거지,대전광역시 서구 오동 98번지
900,편의시설,대전광역시 서구 우명동 9번지
901,편의시설,대전광역시 서구 우명동 9-3번지
902,편의시설,대전광역시 서구 우명동 10번지
903,농축산업시설,대전광역시 서구 우명동 14-1번지
906,편의시설,대전광역시 서구 우명동 17-1번지
907,편의시설,대전광역시 서구 우명동 26번지
908,편의시설,대전광역시 서구 우명동 34번지
909,주거지,대전광역시 서구 우명동 36-3번지
910,편의시설,대전광역시 서구 원정동 6-6번지
911,편의시설,대전광역시 서구 원정동 31-7번지
912,주거지,대전광역시 서구 원정동 36번지
914,주거지,대전광역시 서구 원정동 36-1번지
915,주거지,대전광역시 서구 원정동 36-2번지
916,주거지,대전광역시 서구 원정동 36-3번지
917,주거지,대전광역시 서구 원정동 37번지
920,농축산업시설,대전광역시 서구 용촌동 9-5번지
921,주거지,대전광역시 서구 용촌동 11번지
922,주거지,대전광역시 서구 용촌동 11-3번지
923,주거지,대전광역시 서구 용촌동 12-1번지
925,주거지,대전광역시 서구 용촌동 12-2번지
926,주거지,대전광역시 서구 용촌동 13-1번지
927,주거지,대전광역시 서구 용촌동 13-2번지
928,주거지,대전광역시 서구 용촌동 13-4번지
929,주거지,대전광역시 서구 용촌동 13-9번지
930,창고시설,대전광역시 서구 봉곡동 10-1번지
931,창고시설,대전광역시 서구 봉곡동 10-3번지
932,주거지,대전광역시 서구 봉곡동 12-5번지
933,농축산업시설,대전광역시 서구 봉곡동 12-7번지
934,농축산업시설,대전광역시 서구 봉곡동 12-8번지
935,주거지,대전광역시 서구 봉곡동 27-1번지
936,주거지,대전광역시 서구 봉곡동 28번지
937,주거지,대전광역시 서구 봉곡동 28-1번지
939,주거지,대전광역시 서구 봉곡동 30번지
940,주거지,대전광역시 서구 괴곡동 4번지
941,주거지,대전광역시 서구 괴곡동 7번지
942,주거지,대전광역시 서구 괴곡동 7-1번지
943,주거지,대전광역시 서구 괴곡동 10번지
944,주거지,대전광역시 서구 괴곡동 13번지
945,주거지,대전광역시 서구 괴곡동 14번지
946,주거지,대전광역시 서구 괴곡동 15번지
947,주거지,대전광역시 서구 괴곡동 17번지
949,편의시설,대전광역시 서구 괴곡동 18번지
950,주거지,대전광역시 서구 만년동 1번지
960,생산시설,대전광역시 유성구 원내동 1번지
964,편의시설,대전광역시 유성구 원내동 1-10번지
965,주거지,대전광역시 유성구 원내동 1-12번지
966,편의시설,대전광역시 유성구 원내동 30-2번지
968,주거지,대전광역시 유성구 원내동 31번지
969,교육연구시설,대전광역시 유성구 원내동 31-7번지
970,주거지,대전광역시 유성구 교촌동 1번지
971,농축산업시설,대전광역시 유성구 교촌동 7-10번지
972,주거지,대전광역시 유성구 교촌동 57번지
973,주거지,대전광역시 유성구 교촌동 57-6번지
974,주거지,대전광역시 유성구 교촌동 74번지
975,주거지,대전광역시 유성구 교촌동 83번지
976,주거지,대전광역시 유성구 교촌동 86-1번지
977,주거지,대전광역시 유성구 교촌동 91-2번지
978,창고시설,대전광역시 유성구 교촌동 102-1번지
979,주거지,대전광역시 유성구 교촌동 110-1번지
980,주거지,대전광역시 유성구 대정동 1-3번지
982,주거지,대전광역시 유성구 대정동 2-4번지
983,주거지,대전광역시 유성구 대정동 2-5번지
984,주거지,대전광역시 유성구 대정동 2-6번지
985,주거지,대전광역시 유성구 대정동 8번지
986,주거지,대전광역시 유성구 대정동 8-2번지
987,주거지,대전광역시 유성구 대정동 10번지
990,주거지,대전광역시 유성구 용계동 24번지
991,편의시설,대전광역시 유성구 용계동 29-1번지
992,주거지,대전광역시 유성구 용계동 34번지
993,주거지,대전광역시 유성구 용계동 34-1번지
994,주거지,대전광역시 유성구 용계동 34-2번지
995,주거지,대전광역시 유성구 용계동 34-3번지
996,주거지,대전광역시 유성구 용계동 34-4번지
997,주거지,대전광역시 유성구 용계동 34-5번지
998,주거지,대전광역시 유성구 용계동 34-6번지
999,주거지,대전광역시 유성구 용계동 34-7번지
1000,농축산업시설,대전광역시 유성구 학하동 11-2번지
1001,편의시설,대전광역시 유성구 학하동 14-1번지
1002,교육연구및복지시설,대전광역시 유성구 학하동 15-1번지
1003,주거지,대전광역시 유성구 학하동 41-2번지
1004,주거지,대전광역시 유성구 학하동 42-4번지
1009,창고시설,대전광역시 유성구 학하동 107번지
1010,주거지,대전광역시 유성구 계산동 3-5번지
1011,농축산업시설,대전광역시 유성구 계산동 3-6번지
1012,주거지,대전광역시 유성구 계산동 7-1번지
1013,주거지,대전광역시 유성구 계산동 8-1번지
1014,주거지,대전광역시 유성구 계산동 8-4번지
1015,창고시설,대전광역시 유성구 계산동 11-6번지
1016,편의시설,대전광역시 유성구 계산동 24-3번지
1017,주거지,대전광역시 유성구 계산동 38번지
1018,주거지,대전광역시 유성구 계산동 39-2번지
1019,주거지,대전광역시 유성구 계산동 40-5번지
1020,주거지,대전광역시 유성구 성북동 20-4번지
1021,주거지,대전광역시 유성구 성북동 23-2번지
1022,주거지,대전광역시 유성구 성북동 26번지
1023,주거지,대전광역시 유성구 성북동 38번지
1024,편의시설,대전광역시 유성구 성북동 42-4번지
1025,주거지,대전광역시 유성구 성북동 43-1번지
1026,주거지,대전광역시 유성구 성북동 45-4번지
1027,주거지,대전광역시 유성구 성북동 45-8번지
1028,농축산업시설,대전광역시 유성구 성북동 60-1번지
1029,편의시설,대전광역시 유성구 성북동 69-1번지
1030,주거지,대전광역시 유성구 세동 18-4번지
1031,창고시설,대전광역시 유성구 세동 23-11번지
1032,농축산업시설,대전광역시 유성구 세동 24번지
1034,주거지,대전광역시 유성구 세동 35번지
1035,주거지,대전광역시 유성구 세동 35-2번지
1036,주거지,대전광역시 유성구 세동 35-4번지
1038,주거지,대전광역시 유성구 세동 43-1번지
1039,주거지,대전광역시 유성구 세동 43-7번지
1040,주거지,대전광역시 유성구 송정동 14번지
1041,주거지,대전광역시 유성구 송정동 14-1번지
1042,창고시설,대전광역시 유성구 송정동 20-16번지
1043,창고시설,대전광역시 유성구 송정동 35-7번지
1044,주거지,대전광역시 유성구 송정동 42-1번지
1045,창고시설,대전광역시 유성구 송정동 42-2번지
1046,주거지,대전광역시 유성구 송정동 49-2번지
1047,주거지,대전광역시 유성구 송정동 50-1번지
1048,편의시설,대전광역시 유성구 송정동 50-4번지
1049,편의시설,대전광역시 유성구 송정동 50-5번지
1050,님비시설,대전광역시 유성구 방동 4-6번지
1051,주거지,대전광역시 유성구 방동 5-1번지
1052,창고시설,대전광역시 유성구 방동 5-4번지
1053,님비시설,대전광역시 유성구 방동 7번지
1054,편의시설,대전광역시 유성구 방동 19-10번지
1055,편의시설,대전광역시 유성구 방동 19-11번지
1056,농축산업시설,대전광역시 유성구 방동 31-2번지
1057,주거지,대전광역시 유성구 방동 31-3번지
1058,편의시설,대전광역시 유성구 방동 31-6번지
1059,편의시설,대전광역시 유성구 방동 43-6번지
1060,님비시설,대전광역시 유성구 봉명동 12-1번지
1061,님비시설,대전광역시 유성구 봉명동 36-6번지
1062,주거지,대전광역시 유성구 봉명동 48-13번지
1063,주거지,대전광역시 유성구 봉명동 74번지
1064,편의시설,대전광역시 유성구 봉명동 81-9번지
1065,주거지,대전광역시 유성구 봉명동 150번지
1066,주거지,대전광역시 유성구 봉명동 158-11번지
1067,편의시설,대전광역시 유성구 봉명동 159-14번지
1068,주거지,대전광역시 유성구 봉명동 272번지
1070,주거지,대전광역시 유성구 구암동 2-23번지
1071,주거지,대전광역시 유성구 구암동 2-31번지
1072,주거지,대전광역시 유성구 구암동 2-36번지
1073,편의시설,대전광역시 유성구 구암동 4번지
1074,주거지,대전광역시 유성구 구암동 6번지
1075,주거지,대전광역시 유성구 구암동 7번지
1080,편의시설,대전광역시 유성구 덕명동 8번지
1081,편의시설,대전광역시 유성구 덕명동 9-4번지
1084,주거지,대전광역시 유성구 덕명동 15-12번지
1085,주거지,대전광역시 유성구 덕명동 15-19번지
1086,교육연구시설,대전광역시 유성구 덕명동 16-1번지
1090,주거지,대전광역시 유성구 원신흥동 84-2번지
1091,주거지,대전광역시 유성구 원신흥동 87-2번지
1092,주거지,대전광역시 유성구 원신흥동 144번지
1093,주거지,대전광역시 유성구 원신흥동 256번지
1094,농축산업시설,대전광역시 유성구 원신흥동 311-3번지
1095,주거지,대전광역시 유성구 원신흥동 316번지
1096,주거지,대전광역시 유성구 원신흥동 316-11번지
1097,편의시설,대전광역시 유성구 원신흥동 320-1번지
1098,주거지,대전광역시 유성구 원신흥동 324번지
1099,주거지,대전광역시 유성구 원신흥동 325번지
1100,주거지,대전광역시 유성구 상대동 133번지
1101,교육연구시설,대전광역시 유성구 상대동 138-14번지
1108,주거지,대전광역시 유성구 상대동 202-2번지
1109,주거지,대전광역시 유성구 상대동 209번지
1110,주거지,대전광역시 유성구 복용동 8번지
1111,주거지,대전광역시 유성구 복용동 8-2번지
1112,주거지,대전광역시 유성구 복용동 9번지
1113,주거지,대전광역시 유성구 복용동 9-2번지
1114,주거지,대전광역시 유성구 복용동 9-8번지
1115,주거지,대전광역시 유성구 복용동 67-1번지
1116,주거지,대전광역시 유성구 복용동 67-3번지
1117,주거지,대전광역시 유성구 복용동 67-4번지
1118,편의시설,대전광역시 유성구 복용동 68번지
1119,편의시설,대전광역시 유성구 복용동 68-3번지
1120,주거지,대전광역시 유성구 장대동 10-14번지
1121,편의시설,대전광역시 유성구 장대동 11-1번지
1122,편의시설,대전광역시 유성구 장대동 11-16번지
1123,주거지,대전광역시 유성구 장대동 11-18번지
1124,주거지,대전광역시 유성구 장대동 11-21번지
1125,편의시설,대전광역시 유성구 장대동 11-22번지
1126,주거지,대전광역시 유성구 장대동 11-23번지
1127,주거지,대전광역시 유성구 장대동 11-25번지
1128,주거지,대전광역시 유성구 장대동 11-26번지
1129,편의시설,대전광역시 유성구 장대동 11-27번지
1130,님비시설,대전광역시 유성구 갑동 3번지
1140,주거지,대전광역시 유성구 노은동 3-2번지
1141,주거지,대전광역시 유성구 노은동 24번지
1143,주거지,대전광역시 유성구 노은동 24-71번지
1144,창고시설,대전광역시 유성구 노은동 63-1번지
1147,님비시설,대전광역시 유성구 노은동 75-7번지
1148,님비시설,대전광역시 유성구 노은동 107-7번지
1150,편의시설,대전광역시 유성구 지족동 22-4번지
1151,편의시설,대전광역시 유성구 지족동 22-5번지
1152,주거지,대전광역시 유성구 지족동 49번지
1153,주거지,대전광역시 유성구 지족동 130번지
1154,주거지,대전광역시 유성구 지족동 130-2번지
1155,편의시설,대전광역시 유성구 지족동 130-3번지
1156,주거지,대전광역시 유성구 지족동 130-5번지
1157,주거지,대전광역시 유성구 지족동 130-7번지
1158,주거지,대전광역시 유성구 지족동 130-8번지
1159,주거지,대전광역시 유성구 지족동 130-9번지
1160,주거지,대전광역시 유성구 죽동 24-4번지
1161,편의시설,대전광역시 유성구 죽동 46-12번지
1162,교육연구시설,대전광역시 유성구 죽동 59-12번지
1163,농축산업시설,대전광역시 유성구 죽동 59-75번지
1164,편의시설,대전광역시 유성구 죽동 72번지
1165,창고시설,대전광역시 유성구 죽동 81-4번지
1166,주거지,대전광역시 유성구 죽동 93번지
1169,주거지,대전광역시 유성구 죽동 97번지
1170,주거지,대전광역시 유성구 궁동 1-1번지
1171,주거지,대전광역시 유성구 궁동 1-3번지
1172,주거지,대전광역시 유성구 궁동 1-4번지
1173,주거지,대전광역시 유성구 궁동 1-5번지
1174,주거지,대전광역시 유성구 궁동 1-6번지
1175,주거지,대전광역시 유성구 궁동 1-7번지
1176,주거지,대전광역시 유성구 궁동 1-8번지
1177,주거지,대전광역시 유성구 궁동 1-9번지
1178,주거지,대전광역시 유성구 궁동 1-10번지
1179,주거지,대전광역시 유성구 궁동 1-11번지
1180,주거지,대전광역시 유성구 어은동 17번지
1181,주거지,대전광역시 유성구 어은동 46번지
1182,교육연구시설,대전광역시 유성구 어은동 48번지
1184,교육연구시설,대전광역시 유성구 어은동 52번지
1190,주거지,대전광역시 유성구 구성동 5-2번지
1191,교육연구시설,대전광역시 유성구 구성동 19번지
1200,교육연구시설,대전광역시 유성구 신성동 6번지
1210,주거지,대전광역시 유성구 가정동 1번지
1211,주거지,대전광역시 유성구 가정동 2번지
1214,창고시설,대전광역시 유성구 가정동 2-20번지
1215,님비시설,대전광역시 유성구 가정동 2-22번지
1217,편의시설,대전광역시 유성구 가정동 2-23번지
1219,주거지,대전광역시 유성구 가정동 7번지
1220,문화및집회시설,대전광역시 유성구 도룡동 3-1번지
1230,주거지,대전광역시 유성구 장동 1-5번지
1231,창고시설,대전광역시 유성구 장동 5-4번지
1232,농축산업시설,대전광역시 유성구 장동 12-2번지
1233,편의시설,대전광역시 유성구 장동 14-2번지
1234,주거지,대전광역시 유성구 장동 16-3번지
1235,주거지,대전광역시 유성구 장동 22-1번지
1236,교육연구시설,대전광역시 유성구 장동 23-1번지
1240,농축산업시설,대전광역시 유성구 방현동 6-9번지
1241,창고시설,대전광역시 유성구 방현동 6-10번지
1242,창고시설,대전광역시 유성구 방현동 29-1번지
1243,편의시설,대전광역시 유성구 방현동 30번지
1245,창고시설,대전광역시 유성구 방현동 31번지
1246,편의시설,대전광역시 유성구 방현동 33-1번지
1247,편의시설,대전광역시 유성구 방현동 41-2번지
1250,편의시설,대전광역시 유성구 화암동 5-2번지
1251,주거지,대전광역시 유성구 화암동 12번지
1252,창고시설,대전광역시 유성구 화암동 25-1번지
1253,창고시설,대전광역시 유성구 화암동 25-3번지
1254,주거지,대전광역시 유성구 화암동 26-1번지
1255,님비시설,대전광역시 유성구 화암동 30-5번지
1256,교육연구시설,대전광역시 유성구 화암동 57-1번지
1260,주거지,대전광역시 유성구 덕진동 31번지
1261,농축산업시설,대전광역시 유성구 덕진동 48-1번지
1262,편의시설,대전광역시 유성구 덕진동 48-2번지
1263,편의시설,대전광역시 유성구 덕진동 49-2번지
1264,님비시설,대전광역시 유성구 덕진동 50번지
1265,주거지,대전광역시 유성구 덕진동 71-1번지
1267,창고시설,대전광역시 유성구 덕진동 74번지
1268,주거지,대전광역시 유성구 덕진동 80번지
1269,주거지,대전광역시 유성구 덕진동 110번지
1270,주거지,대전광역시 유성구 하기동 4-15번지
1271,주거지,대전광역시 유성구 하기동 4-23번지
1272,농축산업시설,대전광역시 유성구 하기동 10-3번지
1273,편의시설,대전광역시 유성구 하기동 18번지
1274,님비시설,대전광역시 유성구 하기동 18-3번지
1277,편의시설,대전광역시 유성구 하기동 18-6번지
1279,편의시설,대전광역시 유성구 하기동 18-9번지
1280,님비시설,대전광역시 유성구 추목동 24번지
1282,님비시설,대전광역시 유성구 추목동 37번지
1283,님비시설,대전광역시 유성구 추목동 38-5번지
1284,편의시설,대전광역시 유성구 추목동 114-1번지
1285,님비시설,대전광역시 유성구 추목동 168-2번지
1286,문화및집회시설,대전광역시 유성구 추목동 188-1번지
1287,님비시설,대전광역시 유성구 추목동 250-1번지
1290,편의시설,대전광역시 유성구 자운동 19-1번지
1291,편의시설,대전광역시 유성구 자운동 20-2번지
1292,편의시설,대전광역시 유성구 자운동 20-16번지
1293,편의시설,대전광역시 유성구 자운동 21-1번지
1294,편의시설,대전광역시 유성구 자운동 21-2번지
1295,편의시설,대전광역시 유성구 자운동 21-9번지
1296,편의시설,대전광역시 유성구 자운동 21-10번지
1297,편의시설,대전광역시 유성구 자운동 21-12번지
1298,편의시설,대전광역시 유성구 자운동 22번지
1299,편의시설,대전광역시 유성구 자운동 22-1번지
1300,님비시설,대전광역시 유성구 신봉동 35-2번지
1301,편의시설,대전광역시 유성구 신봉동 112번지
1302,교육연구시설,대전광역시 유성구 신봉동 208번지
1310,님비시설,대전광역시 유성구 수남동 1-21번지
1311,창고시설,대전광역시 유성구 수남동 1-26번지
1312,님비시설,대전광역시 유성구 수남동 24번지
1314,생산시설,대전광역시 유성구 수남동 127번지
1316,님비시설,대전광역시 유성구 수남동 179-1번지
1317,님비시설,대전광역시 유성구 수남동 236번지
1318,님비시설,대전광역시 유성구 수남동 339번지
1319,님비시설,대전광역시 유성구 안산동 12번지
1320,주거지,대전광역시 유성구 안산동 15-2번지
1321,주거지,대전광역시 유성구 안산동 15-3번지
1322,주거지,대전광역시 유성구 안산동 15-4번지
1325,주거지,대전광역시 유성구 안산동 15-5번지
1326,주거지,대전광역시 유성구 안산동 15-6번지
1327,편의시설,대전광역시 유성구 안산동 22번지
1328,주거지,대전광역시 유성구 안산동 23번지
1329,님비시설,대전광역시 유성구 외삼동 52-1번지
1338,주거지,대전광역시 유성구 외삼동 71번지
1339,편의시설,대전광역시 유성구 반석동 17-2번지
1340,편의시설,대전광역시 유성구 반석동 61-5번지
1341,편의시설,대전광역시 유성구 반석동 76-1번지
1342,주거지,대전광역시 유성구 반석동 77번지
1343,농축산업시설,대전광역시 유성구 반석동 77-1번지
1344,농축산업시설,대전광역시 유성구 반석동 77-2번지
1345,편의시설,대전광역시 유성구 반석동 77-5번지
1346,편의시설,대전광역시 유성구 반석동 77-6번지
1347,농축산업시설,대전광역시 유성구 반석동 78번지
1348,창고시설,대전광역시 유성구 반석동 79번지
1349,주거지,대전광역시 유성구 문지동 14번지
1350,교육연구시설,대전광역시 유성구 문지동 103-1번지
1354,교육연구시설,대전광역시 유성구 문지동 103-2번지
1359,편의시설,대전광역시 유성구 전민동 25-1번지
1360,창고시설,대전광역시 유성구 전민동 182-6번지
1361,주거지,대전광역시 유성구 전민동 223-4번지
1362,편의시설,대전광역시 유성구 전민동 226-4번지
1363,주거지,대전광역시 유성구 전민동 229-8번지
1364,주거지,대전광역시 유성구 전민동 250-1번지
1365,님비시설,대전광역시 유성구 전민동 250-2번지
1366,주거지,대전광역시 유성구 전민동 251-1번지
1367,주거지,대전광역시 유성구 전민동 251-2번지
1368,주거지,대전광역시 유성구 전민동 251-3번지
1369,주거지,대전광역시 유성구 원촌동 17번지
1370,님비시설,대전광역시 유성구 원촌동 23번지
1379,주거지,대전광역시 유성구 탑립동 20-18번지
1380,편의시설,대전광역시 유성구 탑립동 346번지
1381,편의시설,대전광역시 유성구 탑립동 347-2번지
1382,창고시설,대전광역시 유성구 탑립동 348-6번지
1383,편의시설,대전광역시 유성구 탑립동 348-7번지
1384,주거지,대전광역시 유성구 탑립동 370-2번지
1385,주거지,대전광역시 유성구 탑립동 374번지
1386,주거지,대전광역시 유성구 탑립동 378-2번지
1387,주거지,대전광역시 유성구 탑립동 383-1번지
1388,편의시설,대전광역시 유성구 탑립동 387-2번지
1389,주거지,대전광역시 유성구 용산동 104-1번지
1390,농축산업시설,대전광역시 유성구 용산동 105-1번지
1391,주거지,대전광역시 유성구 용산동 119-2번지
1392,주거지,대전광역시 유성구 용산동 119-5번지
1393,주거지,대전광역시 유성구 용산동 126-1번지
1394,주거지,대전광역시 유성구 용산동 126-3번지
1395,주거지,대전광역시 유성구 용산동 131번지
1396,주거지,대전광역시 유성구 용산동 135번지
1397,주거지,대전광역시 유성구 용산동 137-3번지
1398,주거지,대전광역시 유성구 용산동 165번지
1399,주거지,대전광역시 유성구 봉산동 29번지
1400,주거지,대전광역시 유성구 봉산동 177번지
1402,주거지,대전광역시 유성구 봉산동 178-1번지
1403,주거지,대전광역시 유성구 봉산동 178-2번지
1404,주거지,대전광역시 유성구 봉산동 178-3번지
1405,주거지,대전광역시 유성구 봉산동 178-4번지
1406,주거지,대전광역시 유성구 봉산동 178-5번지
1407,주거지,대전광역시 유성구 봉산동 178-6번지
1408,주거지,대전광역시 유성구 봉산동 178-7번지
1409,주거지,대전광역시 유성구 관평동 71번지
1410,주거지,대전광역시 유성구 관평동 71-4번지
1411,주거지,대전광역시 유성구 관평동 418번지
1413,주거지,대전광역시 유성구 관평동 418-3번지
1414,주거지,대전광역시 유성구 관평동 420번지
1415,창고시설,대전광역시 유성구 관평동 421번지
1416,주거지,대전광역시 유성구 관평동 423번지
1417,주거지,대전광역시 유성구 관평동 425번지
1419,교육연구시설,대전광역시 유성구 송강동 8-1번지
1429,주거지,대전광역시 유성구 금고동 54번지
1430,주거지,대전광역시 유성구 금고동 59번지
1433,주거지,대전광역시 유성구 금고동 59-3번지
1434,주거지,대전광역시 유성구 금고동 60-1번지
1435,주거지,대전광역시 유성구 금고동 65번지
1436,주거지,대전광역시 유성구 금고동 68번지
1437,주거지,대전광역시 유성구 금고동 69번지
1438,주거지,대전광역시 유성구 금고동 72번지
1439,주거지,대전광역시 유성구 대동 3번지
1441,농축산업시설,대전광역시 유성구 대동 35번지
1442,주거지,대전광역시 유성구 대동 59-2번지
1443,주거지,대전광역시 유성구 대동 60-1번지
1444,주거지,대전광역시 유성구 대동 63-1번지
1445,농축산업시설,대전광역시 유성구 대동 91번지
1447,주거지,대전광역시 유성구 대동 126번지
1448,농축산업시설,대전광역시 유성구 대동 148번지
1449,생산시설,대전광역시 유성구 금탄동 50번지
1450,창고시설,대전광역시 유성구 금탄동 74번지
1451,주거지,대전광역시 유성구 금탄동 95번지
1452,주거지,대전광역시 유성구 금탄동 95-3번지
1453,주거지,대전광역시 유성구 금탄동 95-4번지
1454,농축산업시설,대전광역시 유성구 금탄동 117-1번지
1455,농축산업시설,대전광역시 유성구 금탄동 120-2번지
1456,창고시설,대전광역시 유성구 금탄동 120-3번지
1457,농축산업시설,대전광역시 유성구 금탄동 152번지
1459,주거지,대전광역시 유성구 신동 119번지
1460,주거지,대전광역시 유성구 신동 255-1번지
1462,주거지,대전광역시 유성구 신동 293-2번지
1463,주거지,대전광역시 유성구 신동 309번지
1464,주거지,대전광역시 유성구 신동 383-1번지
1465,편의시설,대전광역시 유성구 신동 388-2번지
1466,주거지,대전광역시 유성구 신동 424번지
1467,주거지,대전광역시 유성구 신동 435번지
1469,주거지,대전광역시 유성구 둔곡동 1번지
1470,창고시설,대전광역시 유성구 둔곡동 8번지
1471,주거지,대전광역시 유성구 둔곡동 16번지
1472,주거지,대전광역시 유성구 둔곡동 62-2번지
1473,농축산업시설,대전광역시 유성구 둔곡동 66번지
1475,주거지,대전광역시 유성구 둔곡동 107번지
1476,편의시설,대전광역시 유성구 둔곡동 175-1번지
1477,농축산업시설,대전광역시 유성구 둔곡동 180-2번지
1478,창고시설,대전광역시 유성구 둔곡동 182번지
1479,주거지,대전광역시 유성구 구룡동 2-3번지
1481,편의시설,대전광역시 유성구 구룡동 7-1번지
1482,주거지,대전광역시 유성구 구룡동 28번지
1484,주거지,대전광역시 유성구 구룡동 40-2번지
1485,주거지,대전광역시 유성구 구룡동 46번지
1487,주거지,대전광역시 유성구 구룡동 46-1번지
1488,주거지,대전광역시 유성구 구룡동 48-3번지
1489,주거지,대전광역시 대덕구 오정동
1499,생산시설,대전광역시 대덕구 대화동 1-3번지
1501,창고시설,대전광역시 대덕구 대화동 1-4번지
1505,생산시설,대전광역시 대덕구 대화동 1-7번지
1509,주거지,대전광역시 대덕구 읍내동
1510,편의시설,대전광역시 대덕구 읍내동 5-7번지
1511,편의시설,대전광역시 대덕구 읍내동 5-17번지
1512,편의시설,대전광역시 대덕구 읍내동 11-1번지
1513,주거지,대전광역시 대덕구 읍내동 16-5번지
1514,주거지,대전광역시 대덕구 읍내동 19번지
1515,주거지,대전광역시 대덕구 읍내동 22번지
1516,편의시설,대전광역시 대덕구 읍내동 23-2번지
1517,주거지,대전광역시 대덕구 읍내동 23-4번지
1519,주거지,대전광역시 대덕구 연축동
1520,농축산업시설,대전광역시 대덕구 연축동 1번지
1521,주거지,대전광역시 대덕구 연축동 5번지
1522,주거지,대전광역시 대덕구 연축동 7번지
1523,창고시설,대전광역시 대덕구 연축동 7-1번지
1524,주거지,대전광역시 대덕구 연축동 7-2번지
1525,창고시설,대전광역시 대덕구 연축동 7-3번지
1526,주거지,대전광역시 대덕구 연축동 14번지
