,주용도코드명,대지위치
172,주거지,대전광역시 동구 삼성동 15번지
173,주거지,대전광역시 동구 삼성동 28-22번지
174,주거지,대전광역시 동구 삼성동 39-22번지
175,주거지,대전광역시 동구 삼성동 80번지
176,주거지,대전광역시 동구 삼성동 80-23번지
177,주거지,대전광역시 동구 삼성동 80-26번지
178,주거지,대전광역시 동구 삼성동 80-32번지
179,편의시설,대전광역시 동구 삼성동 80-37번지
181,편의시설,대전광역시 동구 정동 1번지
183,생산시설,대전광역시 동구 정동 1-1번지
190,주거지,대전광역시 동구 중동 1번지
192,편의시설,대전광역시 동구 중동 1-1번지
193,편의시설,대전광역시 동구 중동 1-2번지
195,편의시설,대전광역시 동구 중동 1-3번지
196,편의시설,대전광역시 동구 중동 1-5번지
197,주거지,대전광역시 동구 중동 1-6번지
198,창고시설,대전광역시 동구 중동 1-7번지
199,편의시설,대전광역시 동구 중동 1-9번지
200,농축산업시설,대전광역시 동구 추동 189-1번지
201,주거지,대전광역시 동구 추동 200-1번지
202,주거지,대전광역시 동구 추동 200-2번지
203,주거지,대전광역시 동구 추동 200-3번지
204,주거지,대전광역시 동구 추동 200-5번지
205,주거지,대전광역시 동구 추동 200-6번지
206,주거지,대전광역시 동구 추동 200-8번지
207,주거지,대전광역시 동구 추동 200-10번지
208,주거지,대전광역시 동구 추동 200-11번지
209,주거지,대전광역시 동구 추동 200-12번지
210,주거지,대전광역시 동구 비룡동 16-7번지
211,주거지,대전광역시 동구 비룡동 16-8번지
212,주거지,대전광역시 동구 비룡동 16-9번지
213,주거지,대전광역시 동구 비룡동 16-10번지
214,주거지,대전광역시 동구 비룡동 16-17번지
215,주거지,대전광역시 동구 비룡동 42-2번지
216,편의시설,대전광역시 동구 비룡동 76-2번지
217,주거지,대전광역시 동구 비룡동 76-4번지
218,주거지,대전광역시 동구 비룡동 78-2번지
219,주거지,대전광역시 동구 비룡동 79-1번지
220,주거지,대전광역시 동구 주산동 44-1번지
221,주거지,대전광역시 동구 주산동 44-2번지
222,주거지,대전광역시 동구 주산동 44-3번지
