주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
삼성동 중부소방서 주변,공영,대전광역시 동구 태전로137번길(삼성동 322-4),17,36.34028839999995,127.4172354999998
월평1동이마트주변,공영,대전광역시 서구 월평동510,48,36.35773000000008,127.36195679999994
월평2동둔산선사유적지옆,공영,대전광역시 서구 월평동281,20,36.360533899999616,127.37732519999989
대전일보~월평타운구간,공영,대전광역시 서구 월평1동29-3,44,36.35319770000016,127.36054839999935
탄방동탄방역주변,공영,대전광역시 서구 탄방동667,93,36.34461419999992,127.38504100000023
계룡로 주변 노상주차장,공영,대전광역시 서구 둔산2동 1136,221,36.34653789999985,127.37907660000012
만년동서구보건소주변,공영,대전광역시 서구 만년동340,117,36.3670905999996,127.38071669999965
법원.검찰청앞갤러리아옆,공영,대전광역시 서구 둔산동1390,155,36.35468860000003,127.3863880999998
법원.검찰청연장노선,공영,대전광역시 서구 둔산동1390,80,36.35468860000003,127.3863880999998
탄방동로데오타운주변,공영,대전광역시 서구 탄방동746,57,36.34729889999988,127.38748380000013
둔산로31번길,공영,대전광역시 서구 둔산동1001,91,36.3548698000001,127.37754569999971
도시철도공사주변,공영,대전광역시 서구 월평동160-20,107,36.348537499999594,127.35174860000009
대전일보 앞,공영,대전광역시 서구 갈마동274-7,64,36.35356449999982,127.36346629999946
서구청 앞,공영,대전광역시 서구 둔산동1300,142,36.35507700000008,127.38275729999954
을지병원주변,공영,대전광역시 서구 둔산2동1306,153,36.35506819999983,127.38095269999941
월평길(월평초~월평중),공영,대전광역시 서구 월평동663,122,36.35693469999975,127.36662299999959
부사동제1노외,공영,대전광역시 중구 부사동 423-6,5,36.30885556,127.4308234
부사동제2노외,공영,대전광역시 중구 부사동 366-3,23,36.30947338,127.4354324
부사동제3노외,공영,대전광역시 중구 부사동 429-6,8,36.31077745,127.4306134
안영동제2노외,공영,대전광역시 중구 안영동 697,75,36.28529788,127.3825142
안영동제3노외,공영,대전광역시 중구 안영동 663,26,36.2905556,127.3796742632
침산동제1노외,공영,대전광역시 중구 침산동 360,176,36.28716232,127.3909063
석교동제1노외,공영,대전광역시 중구 석교동 244-7,7,36.30717787,127.4368931
대흥동제1노외,공영,대전광역시 중구 대흥동 125-1,144,36.32584044,127.4291892
으능정이상점가 고객주차장,공영,대전광역시 중구 은행동 170-8,35,36.32704845,127.4282661
오류동제1노외,공영,대전광역시 중구 오류동 175-7,7,36.32320782,127.4099592
오류동제2노외,공영,대전광역시 중구 오류동 149-3,24,36.32376733,127.4102098
관평동5공영,공영,대전광역시 유성구 관평동 1052,44,36.42395378,127.391496
메가시티주변,공영,대전광역시 유성구 노은동 554-3,22,36.36586013,127.3165493
열매마을4단지 앞,공영,대전광역시 유성구 지족동 884-4,11,36.37574996,127.3163137
봉명동 카페거리,공영,대전광역시 유성구 봉명동 648,182,36.42318294,127.3936824
관평동1공영,공영,대전광역시 유성구 관평동 1175,48,36.42320569,127.3936928
관평동2공영,공영,대전광역시 유성구 관평동 734,50,36.42895681,127.3925882
관평동3공영,공영,대전광역시 유성구 관평동 788,32,36.42687339,127.3917728
관평동4공영,공영,대전광역시 유성구 관평동 932,40,36.42507815,127.3900603
용산동공영,공영,대전광역시 유성구 용산동 624,27,36.42202516,127.3963662
송강동(프라자옆)공영,공영,대전광역시 유성구 송강동 16-1,86,36.43583938,127.3860005
송강동(GS마트앞)공영,공영,대전광역시 유성구 송강동 36-2,53,36.43441777,127.3865088
봉산동공영,공영,대전광역시 유성구 봉산동 299,50,36.44088156,127.385204
죽동공영,공영,대전광역시 유성구 죽동 598,156,36.38230621,127.3229484
반석동공영,공영,대전광역시 유성구 반석동 641,30,36.39132854,127.3144699
도룡동공영(上),공영,대전광역시 유성구 도룡동 385-1,96,36.38668292,127.3793098
도룡동공영(下),공영,대전광역시 유성구 도룡동 395-10,90,36.38468494,127.3792863
신성동 제1공영,공영,대전광역시 유성구 신성동 137-2,42,36.39026092,127.3496679
신성동 한울(아)옆,공영,대전광역시 유성구 신성동 106,22,36.39007699,127.3500981
숯골원냉면 주변,공영,대전광역시 유성구 신성동 136-4,13,36.39006225,127.3500838
신성동 첨단주유소~신성삼거리,공영,대전광역시 유성구 신성동 160-1,49,36.3872837,127.3468011
럭키하나아파트 주변,공영,대전광역시 유성구 신성동 206,14,36.38644889,127.3480569
신성동애경기술원전면,공영,대전광역시 유성구 신성동 217-2,64,36.39195956,127.3523248
주막공원~숯골길,공영,대전광역시 유성구 신성동 466,65,36.39070075,127.3480303
도덕봉가든일원,공영,대전광역시 유성구 덕명동 171-96,25,36.34554828,127.2969966
요한이네할인매장 맞은편~유진아이티 맞은편,공영,대전광역시 유성구 노은동 562-9,33,36.36349014,127.3171231
대전원예농협~대신수산,공영,대전광역시 유성구 노은동 567-3,10,36.36300258,127.3188584
유성경찰서~죽동 622,공영,대전광역시 유성구 죽동 629,43,36.37878283,127.325416
원내동 중앙장로교회 앞,공영,대전광역시 유성구 원내동 92-10,8,36.30111927,127.3197162
죽동장애인복지관~북대전세무서,공영,대전광역시 유성구 죽동 600,39,36.38140838,127.3233637
수통골 공영주차장 입구 주변,공영,대전광역시 유성구 계산동 352-8,8,36.34561624,127.2932526
길산골프연습장 앞,공영,대전광역시 유성구 원내동 761,33,36.30237065,127.3306057
유성경찰서 인근,공영,대전광역시 유성구 죽동 648,32,36.37958143,127.3266296
반석마을 2단지 207동 옆라인,공영,대전광역시 유성구 지족동 1001,35,36.38752952,127.3165942
유성성당 옆,공영,대전광역시 유성구 봉명동 568-1,12,36.35393558,127.335802
온천1동주민센터앞,공영,대전광역시 유성구 봉명동 451,8,36.35311603,127.3389679
대우이수드림월드아파트 옆,공영,대전광역시 유성구 장대동 343,34,36.36283808,127.3377415
권인순 김치찌개 앞,공영,대전광역시 유성구 노은동 517-3,78,36.36747445,127.3172113
세천5 공한지 주차장,공영,대전광역시 동구 세천동 18-21,11,36.33863110000022,127.4917343999993
세천6 공한지 주차장,공영,대전광역시 동구 세천동 35-2,10,36.34103649999981,127.49107089999967
세천7 공한지 주차장,공영,대전광역시 동구 세천동 47-11,14,36.342701799999666,127.49078909999972
세천8 공한지 주차장,공영,대전광역시 동구 세천동 76-1,9,36.34252970000025,127.49299489999979
신도시장 주차장,공영,대전광역시 동구 가양2동 39-6,30,36.34905169999977,127.44608399999936
신상동 안아감마을 공동주차장,공영,대전광역시 동구 신상동 150-1,40,36.35310030000023,127.51468559999934
신하동 마을공영주차장,공영,대전광역시 동구 신하동 343-15,15,36.362396900000284,127.50095689999982
신한은행 노외공영주차장(제2주차장),공영,대전광역시 동구 원동 51-12,58,36.3294307999999,127.4325592000001
역전시장 공영주차장,공영,대전광역시 동구 원동 31-1,48,36.327861699999815,127.43526079999985
용운시장 주차장,공영,대전광역시 동구 용운 349-4,22,37.05540140000023,127.05182959999944
용전동 제2공영주차장(BBS부지),공영,대전광역시 동구 용전동 62-21,30,36.35188280000021,127.43485559999958
용전동노외공영주차장,공영,대전광역시 동구 용전동 143-22,49,36.3484804999996,127.43325589999978
용전동주민센터옆공영주차장,공영,대전광역시 동구 용전동 28-34,17,36.357736400000114,127.4318979999993
인동물류센터주변공영주차장,공영,대전광역시 동구 인동 44-10,10,36.32002959999992,127.43729039999972
인동시장노외공영주차장,공영,대전광역시 동구 인동 30-1,31,36.32274430000029,127.43587850000019
정동 노외공영주차장,공영,대전광역시 동구 정동 3-4,44,36.33492170000007,127.43102929999978
중앙시장 공영주차빌딩 주차장(제1주차장),공영,대전광역시 동구 원동 85-1,400,36.32746620000005,127.43221009999954
중앙시장 제3공영주차장,공영,대전광역시 동구 중동93-2,53,36.33000589999993,127.43127529999946
천동 주차장,공영,대전광역시 동구 천동 513,14,36.31621370000022,127.44627749999965
판암주공5·6단지주변공영주차장,공영,대전광역시 동구 판암동 237-2,13,36.32313839999993,127.4601077999995
한약·인쇄거리 노외공영주차장,공영,"대전광역시 동구 중동 9-5, 10-16",100,36.332641300000176,127.42902940000013
대신동 하상주차장,공영,대전광역시 동구 대동천,286,36.33677369999994,127.43331579999979
아드리아호텔 앞,공영,대전광역시 유성구 봉명동 442-4,26,36.35601339,127.340832
유성호텔 앞,공영,대전광역시 유성구 봉명동 528,20,36.35414684,127.3389872
계룡스파텔 정문앞,공영,대전광역시 유성구 봉명동 539-1,58,36.35513271,127.3478811
유성우체국 옆,공영,대전광역시 유성구 봉명동 537-8,7,36.35565938,127.3436539
